test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n,tau
2014,recent8,8,33.3,198,0.5959595959595959,0.7878787878787878,0.8838383838383839,0.07575757575757576,0.25757575757575757,0.6936026936026937,1.2227160377420847,0.012559553626155259,0.1124962511549567,0.0036720161540081163,8712,0.5303030303030303,0.6616161616161617,1.0936347816576795,1.3627942083650042,0.04040404040404041,0.10606060606060606,663,0.7163884588655672,1.3885265802172193,-3.750979751373078e-17,0.7644075711300542,10.133333333333333,8,False,0.5,4,0.75,8,0.7,10,2.2491672847526223
2015,recent8,8,33.8,197,0.5888324873096447,0.7614213197969543,0.8730964467005076,0.10152284263959391,0.24873096446700507,0.6785109983079527,1.231124334795527,0.012374648852864533,0.1115185288653322,0.003098526163316404,8668,0.5151015228426395,0.6548223350253807,1.0806968709842124,1.4043184210565287,0.06091370558375635,0.1498730964467004,665,0.6888194117428018,1.4351329389061243,-1.2287581144723537e-16,0.7681634041071125,12.264705882352942,1,True,1.0,3,1.0,5,0.7,10,2.3527416664942096
2016,recent8,8,35.3,198,0.6212121212121212,0.7878787878787878,0.8787878787878788,0.08585858585858586,0.22727272727272727,0.6818181818181818,1.1895848558848685,0.012538926606624048,0.11182682880130684,0.0039066663856256525,8712,0.5555555555555556,0.6868686868686869,1.0565556595224181,1.3173201216181394,0.050505050505050504,0.12121212121212122,656,0.7443260074784542,1.5224912947590528,-1.408087738548979e-16,0.7568133490689837,9.75,1,True,0.6666666666666666,3,0.42857142857142855,7,0.5833333333333334,12,2.2609160313451953
2017,recent8,8,37.5,198,0.5959595959595959,0.8131313131313131,0.8686868686868687,0.12121212121212122,0.25252525252525254,0.7003367003367005,1.178610596245187,0.012356345096321523,0.1093601605098469,0.00283355138821831,8712,0.5303030303030303,0.6616161616161617,1.0455525552045142,1.320220581334762,0.07575757575757576,0.16666666666666666,656,0.7084466313371688,1.4804720897539383,8.935941417714675e-17,0.7641012837228364,9.702702702702704,1,True,1.0,3,0.6,5,0.6,10,2.328325849504816
2018,recent8,8,39.4,198,0.5353535353535354,0.7828282828282829,0.8888888888888888,0.10606060606060606,0.2828282828282828,0.6902356902356903,1.3682735226986742,0.013680767568879077,0.11309145224908629,0.0029123585546085504,8712,0.46464646464646464,0.6060606060606061,1.1926084997830955,1.5760528529513433,0.0707070707070707,0.15656565656565657,656,0.768787907602006,1.6089652951001086,-4.332577657073782e-17,0.7751070299818807,12.588235294117647,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11,2.274491091488591
2019,recent8,8,40.6,198,0.5959595959595959,0.7676767676767676,0.8939393939393939,0.10101010101010101,0.2777777777777778,0.702020202020202,1.201124788800323,0.012424065836797666,0.10949118891493476,0.003842168419999158,8712,0.5303030303030303,0.6616161616161617,1.0649270886334954,1.341201428861405,0.05555555555555555,0.14646464646464646,654,0.7665102494930048,1.6212178866143219,3.8025987387772944e-17,0.7524343838421627,11.0,5,False,0.5,4,0.6,5,0.6,10,2.2225684533308723
2020,recent8,8,41.4,153,0.5424836601307189,0.7516339869281046,0.8758169934640523,0.0915032679738562,0.20915032679738563,0.6448801742919389,1.2988875351692915,0.013107140238157802,0.11821370703063362,0.0027146943481684807,6732,0.46405228758169936,0.6209150326797386,1.142915790116741,1.5066349293621462,0.05228758169934641,0.1437908496732026,654,0.6208573008318808,1.264055264631612,1.1951024607585782e-16,0.7527756812285981,9.4,1,True,1.0,4,0.75,8,0.8,10,2.3557112149485713
2021,recent8,8,42.6,198,0.6868686868686869,0.8484848484848485,0.9090909090909091,0.14646464646464646,0.2777777777777778,0.702020202020202,1.116184432568352,0.01031456741868982,0.11130904319266469,0.009184463386307847,9108,0.6286616161616162,0.7525252525252525,0.9767284512672674,1.270464851866284,0.10606060606060606,0.19696969696969696,674,0.7178738387288057,1.5358508751211934,3.821539194555435e-17,0.7516096109684067,6.548387096774194,1,True,0.6666666666666666,3,0.6666666666666666,6,0.8,10,1.9529663748556387
2022,recent8,8,44.4,198,0.6161616161616161,0.8232323232323232,0.8888888888888888,0.10101010101010101,0.2474747474747475,0.6919191919191919,1.1357088058945795,0.011153467454407503,0.10105560155012454,0.00415577109706706,9108,0.5555555555555556,0.6818181818181818,0.9894507807197078,1.2969157168075516,0.06060606060606061,0.14406565656565645,683,0.624961527369567,1.3043321342340157,-1.300407642313507e-16,0.7746745233003302,12.411764705882353,5,False,0.3333333333333333,3,0.8,5,0.8,10,2.271196390030974
2023,recent8,8,46.1,207,0.4782608695652174,0.6956521739130435,0.8019323671497585,0.06280193236714976,0.21739130434782608,0.6199677938808376,1.5660284892303125,0.013975626474918967,0.11997748125248113,0.004154995582368151,9522,0.41545893719806765,0.5507246376811594,1.3334291780259109,1.802515343127206,0.03128019323671498,0.0966183574879227,663,0.8622618340355603,1.8361615948645154,-8.573668003138464e-17,0.7352858787592581,9.233333333333333,7,False,0.3333333333333333,3,0.6,5,0.7,10,2.446845341540722
2024,recent8,8,46.4,207,0.5314009661835749,0.714975845410628,0.8357487922705314,0.06280193236714976,0.18357487922705315,0.6360708534621579,1.4931422324084798,0.013705611557020481,0.12982498355839978,0.004746548827531623,9522,0.45893719806763283,0.5990338164251208,1.3462564412765476,1.653649463776721,0.026449275362318843,0.0966183574879227,658,0.9403490829335321,1.9719491799989013,-2.1597043640124626e-17,0.7332038794179666,6.794117647058823,3,False,0.6666666666666666,3,0.6,5,0.7,10,1.7699104486077653
2025,recent8,8,46.4,207,0.5555555555555556,0.7439613526570048,0.8454106280193237,0.06763285024154589,0.17391304347826086,0.6409017713365539,1.3939416464230574,0.013008115277466651,0.12272379171474287,0.0047525579827818265,9522,0.495048309178744,0.6208937198067631,1.256466238299202,1.543136249383536,0.033816425120772944,0.0966183574879227,742,0.769272520246435,1.739689512369692,9.576047651753372e-18,0.7091850062920342,7.466666666666667,7,False,0.6666666666666666,3,0.6,5,0.7,10,1.8675556462133704
2026,recent8,8,48.4,207,0.6811594202898551,0.8695652173913043,0.9130434782608695,0.178743961352657,0.34782608695652173,0.7455716586151371,1.0256839930132913,0.010166595465526606,0.10183462260751754,0.007487862012983715,9522,0.6231884057971014,0.748792270531401,0.9241625134029294,1.1258384313676666,0.13043478260869565,0.2318840579710145,745,0.683598270402683,1.4996347651433621,1.0729672184296815e-16,0.7134553109669514,5.580645161290323,1,True,1.0,3,0.7142857142857143,7,0.9,10,1.9571575856919046
