test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n,tau
2022,expanding,19,152.6,198,0.601010101010101,0.8282828282828283,0.8737373737373737,0.08585858585858586,0.2474747474747475,0.6936026936026936,1.1454957277002988,0.011267518134860738,0.1004696748832718,0.0032996848143819874,9108,0.5454545454545454,0.6666666666666666,0.9899118659623688,1.3104866053227326,0.050505050505050504,0.12626262626262627,683,0.6492847952499043,1.362748828101486,5.721793626179431e-17,0.7741367825620592,14.117647058823529,4,False,0.3333333333333333,3,0.8,5,0.7,10,2.5112485458522427
2023,expanding,20,163.7,207,0.4830917874396135,0.7004830917874396,0.8164251207729468,0.04830917874396135,0.21256038647342995,0.6119162640901771,1.5750149273796727,0.0142221553989248,0.11985003424472608,0.004848499921988612,9522,0.4106280193236715,0.5555555555555556,1.329432889311228,1.8187177539248838,0.024154589371980676,0.0821256038647343,663,0.853240022246689,1.826034890046292,-1.8219044506669235e-16,0.7383523466561147,9.3,5,False,0.6666666666666666,3,0.8,5,0.7,10,2.639419270500938
2024,expanding,21,176.1,207,0.5265700483091788,0.7391304347826086,0.8309178743961353,0.07246376811594203,0.21256038647342995,0.6376811594202898,1.4706520989490937,0.01359576715308024,0.1279586365642546,0.005396405979820232,9522,0.45893719806763283,0.5990338164251208,1.3253801947501989,1.6315344812950072,0.03864734299516908,0.10144927536231885,658,0.9152305140968847,1.8868310917136444,-3.2395565460186937e-17,0.7342904176596109,6.735294117647059,2,False,0.6666666666666666,3,0.4,5,0.7,10,1.890963972890695
2025,expanding,22,183.3,207,0.5362318840579711,0.7439613526570048,0.8695652173913043,0.057971014492753624,0.17391304347826086,0.6473429951690821,1.3504614648295654,0.012959073716188048,0.11999348996669627,0.004255781822559224,9522,0.47342995169082125,0.5942028985507246,1.2207911998485168,1.481259273791242,0.028985507246376812,0.08695652173913043,742,0.7333923641861926,1.6423480950339475,4.788023825876686e-17,0.713106844488601,6.833333333333333,7,False,0.6666666666666666,3,0.6,5,0.7,10,2.0673294380191645
2026,expanding,23,191.9,207,0.6811594202898551,0.8405797101449275,0.9323671497584541,0.15458937198067632,0.3864734299516908,0.7584541062801933,0.990024769840873,0.009986555083648327,0.09822578165647641,0.00771629846811826,9522,0.6183574879227053,0.7439613526570048,0.8872602511081338,1.0899504638669613,0.1111111111111111,0.2028985507246377,745,0.6534289954051464,1.4073568459280612,3.0400737855507644e-17,0.7147141748005634,5.32258064516129,1,True,0.6666666666666666,3,0.7142857142857143,7,0.9,10,2.1364147923333214
2012,recent8,8,58.0,198,0.5656565656565656,0.8181818181818182,0.8737373737373737,0.10606060606060606,0.22727272727272727,0.6565656565656566,1.2977236980994566,0.013336139910656391,0.12189224488537499,0.005458135961689484,8712,0.4922979797979798,0.6363636363636364,1.1357274177446197,1.435508550941574,0.07575757575757576,0.1491161616161615,676,0.7546225990261388,1.5016549924725664,4.729944246923744e-17,0.7576430159990724,10.290322580645162,2,False,0.6666666666666666,3,0.8,5,0.8,10,2.220446123378032
2013,recent8,8,58.1,198,0.5151515151515151,0.7626262626262627,0.8383838383838383,0.05555555555555555,0.1919191919191919,0.6464646464646464,1.3050302330448307,0.012926240350722346,0.12217362143194985,0.004049559659308723,8712,0.4494949494949495,0.5834595959595958,1.1673976959646148,1.4434340032159685,0.025252525252525252,0.08585858585858586,677,0.7606545576789556,1.47997729613897,-9.970688315688259e-17,0.7679579294393816,10.617647058823529,1,True,1.0,3,0.6,5,0.6,10,2.2348553529257464
2014,recent8,8,57.9,198,0.601010101010101,0.7878787878787878,0.898989898989899,0.1111111111111111,0.2727272727272727,0.7070707070707072,1.2026475693488508,0.012342799903006694,0.10982623116752813,0.0037642701161349932,8712,0.5404040404040404,0.6616161616161617,1.0712655384258623,1.3456761963065262,0.0707070707070707,0.15151515151515152,663,0.6706469971473503,1.2752778003717768,3.750979751373078e-17,0.7683341930105552,8.766666666666667,5,False,0.5,4,0.75,8,0.7,10,2.253853194554589
2015,recent8,8,59.7,197,0.5736040609137056,0.751269035532995,0.868020304568528,0.09137055837563451,0.2436548223350254,0.6802030456852792,1.2588980514785988,0.012912147999055589,0.11193942698206143,0.0023380401038185527,8668,0.5025380710659898,0.6345177664974619,1.1130468330317582,1.4304207627575753,0.05583756345177665,0.1447969543147207,665,0.681945486444679,1.4178287508619911,5.342426584662407e-17,0.7683870502462253,13.411764705882353,2,False,0.6666666666666666,3,1.0,5,0.6,10,2.3844889439976273
2016,recent8,8,63.0,198,0.5757575757575758,0.803030303030303,0.8939393939393939,0.08585858585858586,0.23737373737373738,0.6801346801346803,1.1900205794734167,0.012651064974369306,0.11215191559848729,0.003665028637834982,8712,0.507449494949495,0.6414141414141414,1.070460780691013,1.3080871809859758,0.04280303030303031,0.12386363636363626,656,0.7797252200988429,1.6199241356969394,2.166288828536891e-17,0.7605256435097343,10.38888888888889,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12,2.244947246005231
2017,recent8,8,67.1,198,0.6313131313131313,0.8282828282828283,0.898989898989899,0.13131313131313133,0.25757575757575757,0.7070707070707071,1.1066932688524076,0.011705653269123071,0.10717098644376122,0.0037116129994151075,8712,0.5579545454545455,0.6919191919191919,0.9777154090692308,1.2418243132793205,0.08585858585858586,0.18181818181818182,656,0.6872527595227217,1.4189083219891725,4.535667234749115e-17,0.7665797708053883,9.297297297297296,1,True,1.0,3,0.6,5,0.7,10,2.3301714829600733
2018,recent8,8,70.2,198,0.5202020202020202,0.7575757575757576,0.8636363636363636,0.1111111111111111,0.2676767676767677,0.6902356902356903,1.360119533542787,0.013657434701729847,0.11221616850224454,0.002254657663089399,8712,0.45454545454545453,0.5959595959595959,1.1855107896042019,1.578315325217147,0.0707070707070707,0.15151515151515152,656,0.7673498838024554,1.6437025689489297,-3.249433242805336e-17,0.7759321931718554,12.970588235294118,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11,2.345244465976933
2019,recent8,8,71.4,198,0.6262626262626263,0.797979797979798,0.9090909090909091,0.10101010101010101,0.29797979797979796,0.7154882154882154,1.1518041435824915,0.012029281639873116,0.10698979506420345,0.003928056436618535,8712,0.5555555555555556,0.6919191919191919,1.017862572623034,1.2781784856258913,0.06060606060606061,0.1414141414141414,654,0.7271826810819472,1.4901088644520148,8.284232966621963e-17,0.7535966784783551,9.67741935483871,4,False,0.75,4,0.6,5,0.7,10,2.208512210939895
2020,recent8,8,72.7,153,0.5882352941176471,0.7647058823529411,0.8562091503267973,0.10457516339869281,0.24836601307189543,0.6557734204793029,1.277401210094852,0.012893483733928988,0.11652439976021722,0.003595303871734167,6732,0.5032679738562091,0.6700980392156861,1.1025611257268688,1.4798115111157077,0.058823529411764705,0.1568627450980392,654,0.5986377417482068,1.209147196925012,-6.518740695046791e-17,0.7570262051176021,8.966666666666667,1,True,1.0,4,0.875,8,0.9,10,2.4045698628892507
2021,recent8,8,72.9,198,0.702020202020202,0.8383838383838383,0.9141414141414141,0.12626262626262627,0.2727272727272727,0.6936026936026937,1.119632170813973,0.010486637166101077,0.10919825344113684,0.007588857240004112,9108,0.6438131313131313,0.7703282828282827,0.9793472650503375,1.270967964245989,0.08320707070707072,0.1717171717171717,674,0.707384139381116,1.4936467954855808,4.2168708353715146e-17,0.7536193331447889,6.67741935483871,2,False,0.6666666666666666,3,0.6666666666666666,6,0.9,10,2.0267564331285506
2022,recent8,8,75.3,198,0.6111111111111112,0.7929292929292929,0.8636363636363636,0.10101010101010101,0.24242424242424243,0.6801346801346803,1.161388545801262,0.01129976654714497,0.10166366071428112,0.003884118111251782,9108,0.5454545454545454,0.6767676767676768,1.0067698602722384,1.3257474300186023,0.06565656565656566,0.14646464646464646,683,0.648903137869449,1.3368271499099598,2.080652227701611e-17,0.7733825373694269,13.735294117647058,4,False,0.3333333333333333,3,0.8,5,0.8,10,2.330073681271257
2023,recent8,8,77.7,207,0.46859903381642515,0.7004830917874396,0.8067632850241546,0.05314009661835749,0.22705314009661837,0.6231884057971014,1.5804308448555344,0.014287080692071224,0.12038190417093932,0.004110859499070871,9522,0.39842995169082124,0.5362318840579711,1.3508702768618934,1.8237318113221763,0.024154589371980676,0.0821256038647343,663,0.8739369442777949,1.8502601674513968,-8.573668003138464e-17,0.7406574706223105,9.266666666666667,5,False,0.3333333333333333,3,0.8,5,0.7,10,2.4537988366125907
2024,recent8,8,79.1,207,0.5362318840579711,0.7342995169082126,0.8309178743961353,0.06763285024154589,0.2028985507246377,0.6312399355877618,1.4842992716859456,0.013685092820334109,0.12850343356965738,0.004975443713928955,9522,0.46606280193236715,0.6086956521739131,1.3340573786797143,1.638335698066304,0.033816425120772944,0.10144927536231885,658,0.9254105666314489,1.9188160004502604,4.319408728024925e-17,0.7353898533480697,6.235294117647059,2,False,0.6666666666666666,3,0.6,5,0.7,10,1.7773100503511896
2025,recent8,8,78.7,207,0.5555555555555556,0.7681159420289855,0.8743961352657005,0.0821256038647343,0.1932367149758454,0.6441223832528181,1.3453117349409554,0.01284189094621683,0.12099767041811052,0.004690222466933565,9522,0.495048309178744,0.623429951690821,1.2212593017901814,1.4721794857204347,0.04830917874396135,0.1184782608695651,742,0.7247862020217085,1.6233619321494015,5.745628591052023e-17,0.7149968168036754,6.366666666666666,6,False,0.6666666666666666,3,0.6,5,0.7,10,1.9046677344577634
2026,recent8,8,79.1,207,0.6521739130434783,0.8309178743961353,0.9371980676328503,0.14492753623188406,0.36231884057971014,0.7520128824476652,1.0297651613547334,0.010235462345931777,0.10022536630176956,0.007570423531207441,9522,0.5845410628019324,0.7175120772946858,0.9258224422939947,1.13702899152086,0.10628019323671498,0.1932367149758454,745,0.6416913470516287,1.3971533894441583,-2.6228087561614436e-17,0.7145154693962753,5.516129032258065,1,True,0.6666666666666666,3,0.8571428571428571,7,0.8,10,2.02676183520846
