model,season,n_matches,correct_3,exact_321,log_loss_p3,brier_p3,ece_p3,season_mae,spearman
Performance ML (B) platt,2017,198,0.6262626262626263,0.11616161616161616,1.0728741314766108,0.011572585005660375,0.0017726865637319698,0.6863830687391217,0.7674884298671784
Performance ML (B) platt,2018,198,0.5151515151515151,0.09595959595959595,1.403848345146656,0.01435474499597829,0.005289886971589231,0.782200793255585,0.7761308773291827
Performance ML (B) platt,2019,198,0.6414141414141414,0.11616161616161616,1.1071984580651857,0.011644851067899904,0.0025501623899382496,0.7194360058325334,0.7507333657344645
Performance ML (B) platt,2020,153,0.6013071895424836,0.12418300653594772,1.261553500761086,0.012905473065844823,0.002632951292233325,0.6121764328793007,0.756968687914793
Performance ML (B) platt,2021,198,0.696969696969697,0.13131313131313133,1.0253641631149206,0.009637629757389191,0.005262210241370366,0.6855597936711495,0.7539252105637083
Performance ML (B) platt,2022,198,0.601010101010101,0.08585858585858586,1.1286993960150709,0.011138725036224406,0.0017054059258066624,0.6492847952499043,0.7741367825620592
Performance ML (B) platt,2023,207,0.4830917874396135,0.04830917874396135,1.6531850954091198,0.014597523608688054,0.007270170622836559,0.853240022246689,0.7383523466561147
Performance ML (B) platt,2024,207,0.5265700483091788,0.07246376811594203,1.4360261358590367,0.0134579113203512,0.0035081677180283715,0.9152305140968847,0.7342904176596109
Performance ML (B) platt,2025,207,0.5362318840579711,0.057971014492753624,1.324393893603563,0.012899082863198368,0.0026769598491807652,0.7333923641861926,0.713106844488601
Performance ML (B) platt,2026,207,0.6811594202898551,0.15458937198067632,0.9289616578860974,0.009613862000129541,0.00598885043067479,0.6534289954051464,0.7147141748005634
Learned ensemble (A+B+C) raw,2015,197,0.5939086294416244,0.1116751269035533,1.2252902427621077,0.01248257557959708,0.004116617925656644,0.6792626368575578,0.7708393459113256
Learned ensemble (A+B+C) raw,2016,198,0.6464646464646465,0.10606060606060606,1.17351167656235,0.012287389606712107,0.0035096045951650287,0.7795198041496568,0.7602200419383194
Learned ensemble (A+B+C) raw,2017,198,0.6212121212121212,0.1111111111111111,1.0832374828691242,0.011446993249155173,0.004000820189408554,0.6876385970342386,0.7679731492457065
Learned ensemble (A+B+C) raw,2018,198,0.5252525252525253,0.09090909090909091,1.3688137635816038,0.014052648612241831,0.00351813977966828,0.7829658234550497,0.7774509792393229
Learned ensemble (A+B+C) raw,2019,198,0.6414141414141414,0.12626262626262627,1.1244295507293403,0.011595366019447705,0.004728283237001859,0.7141140877532797,0.7516952192416659
Learned ensemble (A+B+C) raw,2020,153,0.5882352941176471,0.09803921568627451,1.2623407703932614,0.012908169557713322,0.004644141746401338,0.6121181111325821,0.7590853261809906
Learned ensemble (A+B+C) raw,2021,198,0.696969696969697,0.1414141414141414,1.0614163489107928,0.009933294862183783,0.008287992690201692,0.6854492271640651,0.7538589909304401
Learned ensemble (A+B+C) raw,2022,198,0.6414141414141414,0.1111111111111111,1.1395549050752372,0.011236710233931546,0.0038387108049553363,0.6627842964553111,0.7739769981984908
Learned ensemble (A+B+C) raw,2023,207,0.48792270531400966,0.057971014492753624,1.5244777578585809,0.013874884898961473,0.004055538262192825,0.8565665455970711,0.7371375842817148
Learned ensemble (A+B+C) raw,2024,207,0.5169082125603864,0.057971014492753624,1.445515690989,0.01345131228000101,0.0036685046861463645,0.8909099382319179,0.732738972057336
Learned ensemble (A+B+C) raw,2025,207,0.5507246376811594,0.06763285024154589,1.3419689018382588,0.012849063393473357,0.003208357274733743,0.7335634908299886,0.7130309371985988
Learned ensemble (A+B+C) raw,2026,207,0.6811594202898551,0.1642512077294686,0.9556787815461005,0.009557549379558508,0.007092717986448181,0.6369763229381988,0.7146909928229714
Learned ensemble (A+B+C) platt,2016,198,0.6464646464646465,0.10606060606060606,1.1424601824220262,0.01218791270878937,0.0023457006632964707,0.7795198041496568,0.7602200419383194
Learned ensemble (A+B+C) platt,2017,198,0.6212121212121212,0.1111111111111111,1.0473127598590346,0.011345393558515098,0.0015833267018118598,0.6876385970342386,0.7679731492457065
Learned ensemble (A+B+C) platt,2018,198,0.5252525252525253,0.09090909090909091,1.3847370588157515,0.014234777225804917,0.004265699874929797,0.7829658234550497,0.7774509792393229
Learned ensemble (A+B+C) platt,2019,198,0.6414141414141414,0.12626262626262627,1.092241024579913,0.011423740691136509,0.0033271733928419405,0.7141140877532797,0.7516952192416659
Learned ensemble (A+B+C) platt,2020,153,0.5882352941176471,0.09803921568627451,1.2387723243238775,0.012851693027580198,0.002314825515978868,0.6121181111325821,0.7590853261809906
Learned ensemble (A+B+C) platt,2021,198,0.696969696969697,0.1414141414141414,1.0066350343208808,0.009454072925385887,0.0056408202344161,0.6854492271640651,0.7538589909304401
Learned ensemble (A+B+C) platt,2022,198,0.6414141414141414,0.1111111111111111,1.1102681430392642,0.01105084539399639,0.002121922552033514,0.6627842964553111,0.7739769981984908
Learned ensemble (A+B+C) platt,2023,207,0.48792270531400966,0.057971014492753624,1.5883962001458931,0.014212629001908157,0.005699375578365709,0.8565665455970711,0.7371375842817148
Learned ensemble (A+B+C) platt,2024,207,0.5169082125603864,0.057971014492753624,1.4253907142803104,0.013432621151119846,0.0027977186679321937,0.8909099382319179,0.732738972057336
Learned ensemble (A+B+C) platt,2025,207,0.5507246376811594,0.06763285024154589,1.3231828169368574,0.01284043409247754,0.002433219452809726,0.7335634908299886,0.7130309371985988
Learned ensemble (A+B+C) platt,2026,207,0.6811594202898551,0.1642512077294686,0.8964778316639368,0.009212192207346452,0.004676953113666369,0.6369763229381988,0.7146909928229714
