model,season,RUCK_ev_bias,RUCK_n,MIDFIELDER_ev_bias,MIDFIELDER_n,KEY_DEFENDER_ev_bias,KEY_DEFENDER_n,MEDIUM_DEFENDER_ev_bias,MEDIUM_DEFENDER_n,KEY_FORWARD_ev_bias,KEY_FORWARD_n,MEDIUM_FORWARD_ev_bias,MEDIUM_FORWARD_n,MIDFIELDER_3voter_hit,MIDFIELDER_3voters,KEY_DEFENDER_3voter_hit,KEY_DEFENDER_3voters,MEDIUM_DEFENDER_3voter_hit,MEDIUM_DEFENDER_3voters,RUCK_3voter_hit,RUCK_3voters
Stats-only (C),2024,3.0084210465685577,20,-1.2721641056845505,84,-0.03794063150951631,18,-0.13724306881920825,42,-0.1574679097836823,32,-0.19290615071451764,27,0.5323741007194245,139,0.6666666666666666,3,0.4,20,0.42857142857142855,7
Stats-only (C),2025,1.3019170084179876,16,-0.7240065632383613,84,-0.8473405321687967,15,-0.2536202337331282,46,0.3961291377546833,29,-0.4902576461282969,31,0.6173913043478261,115,0.5,2,0.36,25,0.5,16
Stats-only (C),2026,0.5867648185413507,15,-1.0734164596824092,114,-0.37230752775735837,7,1.685259738738937,34,-0.6007402797891882,14,-0.318544222242164,35,0.6940298507462687,134,,0,0.7857142857142857,14,0.6363636363636364,11
Stats-only ML (C-ML),2012,-1.08141318752233,16,-0.008232847858705579,167,-1.4363120375936218,10,-1.3198725657431345,20,0.22833711084535743,13,0.0541787364956939,21,0.592,125,0.5,4,0.3333333333333333,12,0.46153846153846156,13
Stats-only ML (C-ML),2013,-1.241681063179273,18,-0.002785155333330897,166,-1.6139364183324254,12,-0.8262791038490593,16,-0.24550915769022721,12,-0.11400436179798033,21,0.6330935251798561,139,0.0,2,0.6363636363636364,11,0.0,10
Stats-only ML (C-ML),2014,-0.5512645944787783,15,-0.01556054257281303,161,-2.2422204602031814,8,-0.21908919097954255,20,-0.52126946385367,16,-0.9949708666930908,17,0.6259541984732825,131,0.0,2,0.6363636363636364,11,0.25,4
Stats-only ML (C-ML),2015,-1.176937114554201,14,-0.02263109062434027,156,-2.124896794050532,7,-0.5789065856097206,14,-0.06761376428955221,15,-0.3946759762416554,17,0.6434108527131783,129,0.0,1,0.2857142857142857,7,0.2222222222222222,9
Stats-only ML (C-ML),2016,-0.4133523831036977,13,0.11001272135578083,149,-1.625819734244047,13,-0.621623471433687,15,-0.8817798833614137,18,-0.49758846921480765,22,0.7317073170731707,123,0.0,3,0.36363636363636365,11,0.2857142857142857,7
Stats-only ML (C-ML),2017,-0.4428055659409696,19,0.059642135684754245,142,-2.2461644947865165,8,-0.6394881374165746,22,-1.0807825922303163,16,-0.3194155848970973,14,0.6691729323308271,133,0.0,1,0.42857142857142855,7,0.16666666666666666,6
Stats-only ML (C-ML),2018,-0.7649681419927417,17,0.14752763113598802,148,-1.4561411082364861,6,-1.2991194418502483,25,-0.39437007581056116,16,-0.4592447423540597,23,0.5365853658536586,123,0.5,2,0.15384615384615385,13,0.375,8
Stats-only ML (C-ML),2019,-1.0167532181710737,19,0.046050158582166885,140,-1.6993130998792043,9,0.02157345509897448,15,-0.49625343726888016,14,-0.7455831957886543,32,0.7364341085271318,129,0.0,3,0.25,4,0.6,10
Stats-only ML (C-ML),2020,-0.13170047686506187,14,0.07922364005394623,133,-1.2251423404376154,14,0.7080394522155318,21,-0.3500540570108605,9,-1.17280912168007,32,0.5520833333333334,96,0.2,5,0.6666666666666666,3,0.5,4
Stats-only ML (C-ML),2021,-0.35985824235559466,20,-0.49383416000516334,87,-1.0088358204485177,17,0.4050701027515788,38,-0.31597547794207426,33,-0.013602842113077728,31,0.708029197080292,137,0.3333333333333333,3,0.5,8,0.4166666666666667,12
Stats-only ML (C-ML),2022,0.22984138096264187,19,0.09749198434091301,82,-1.373716737634723,9,-0.04096107978936723,36,-0.7290985924916695,34,-0.9533031473462209,25,0.6666666666666666,114,0.0,2,0.47368421052631576,19,0.6666666666666666,12
Stats-only ML (C-ML),2023,0.9851521087326861,17,-0.4239465585744702,87,-1.6438468676735094,16,0.20828935614638341,35,-0.026759333735473144,34,-0.6458268706378414,33,0.4701492537313433,134,0.1111111111111111,9,0.4375,16,0.16666666666666666,6
Stats-only ML (C-ML),2024,2.0907229568743744,19,-1.2769425502532252,87,-0.0042739475118002725,17,0.047595329690157284,42,-0.18104961894804034,32,-0.1077272661931994,29,0.5467625899280576,139,0.6666666666666666,3,0.4,20,0.2857142857142857,7
Stats-only ML (C-ML),2025,-0.07175891902959952,16,-0.5276452327630532,84,-0.9912601254713027,15,-0.03289060701516374,47,0.4036887057197184,29,-0.5551554107886988,31,0.6521739130434783,115,0.5,2,0.28,25,0.25,16
Stats-only ML (C-ML),2026,-0.2878013170925076,15,-0.869293700688415,119,-0.5401897968681881,6,1.5677740926463974,34,-0.5425112503739677,14,-0.2723583382545816,34,0.7238805970149254,134,,0,0.7857142857142857,14,0.5454545454545454,11
Baseline (Phase 4 PL),2012,0.34658693440783767,20,-0.16743444806028407,158,-0.7219077909945345,12,-0.873980701917197,22,-0.3088914538097078,11,-0.1903235678013042,18,0.6065573770491803,122,0.5,4,0.3333333333333333,12,0.5833333333333334,12
Baseline (Phase 4 PL),2013,-0.2951208062264754,19,-0.02228784574073239,165,-0.9538846211147736,13,-1.1096930925933324,14,-0.29691867062739447,11,-0.17635248984363483,20,0.6377952755905512,127,0.5,2,0.5555555555555556,9,0.3,10
Baseline (Phase 4 PL),2014,0.34450506800266484,16,-0.1061794591079531,160,-1.487025943833176,9,-0.1577853607842352,19,-0.6473079769114392,15,-1.4928402483374845,16,0.6507936507936508,126,0.0,2,0.6363636363636364,11,0.25,4
Baseline (Phase 4 PL),2015,-0.26711344053769825,16,-0.0369132959020892,152,-1.9157499052533284,6,-0.32756986796894866,17,-0.7638437303892512,15,-0.7957710184948437,16,0.6532258064516129,124,0.0,1,0.16666666666666666,6,0.3333333333333333,9
Baseline (Phase 4 PL),2016,0.5348446463057727,14,0.005521742697876736,146,-1.204985889840466,11,-0.5158206536928612,16,-0.7368707521192158,18,-0.8284874950753812,23,0.6929824561403509,114,0.0,3,0.18181818181818182,11,0.14285714285714285,7
Baseline (Phase 4 PL),2017,0.12403054346158683,18,0.053291745133214906,142,-1.9711663846182668,8,-0.6915290607053411,22,-1.9128622119073142,15,-0.9474996742444194,12,0.7131782945736435,129,0.0,1,0.42857142857142855,7,0.16666666666666666,6
Baseline (Phase 4 PL),2018,0.5866329370596901,20,0.011597293315007631,143,-0.8766387147286416,7,-0.9150563407818748,26,-1.2111340596846667,15,-0.7956202775430327,18,0.5126050420168067,119,0.0,2,0.15384615384615385,13,0.75,8
Baseline (Phase 4 PL),2019,0.780824841579682,17,-0.07656642751556537,135,-1.5345510872683155,9,0.2594566386333439,16,-0.8730486798016113,14,-1.487111986563032,28,0.6929133858267716,127,0.3333333333333333,3,0.25,4,0.9,10
Baseline (Phase 4 PL),2020,0.6269456315675985,15,-0.1442262509164873,133,-0.7723010603058034,14,0.7442168497184887,25,-0.37957098768551667,9,-1.1252330508342594,27,0.5294117647058824,85,0.25,4,0.0,2,0.5,4
Baseline (Phase 4 PL),2021,0.4041135864247004,20,-0.2369301223806217,84,-0.44768492086860323,18,0.41737046588366206,42,-0.8488662579259917,27,-0.41866141274138824,27,0.6614173228346457,127,0.0,3,0.625,8,0.6363636363636364,11
Baseline (Phase 4 PL),2022,1.0130652523779213,19,-0.00014361012725307986,85,0.15737350036555553,16,0.30250327663153925,40,-1.606618767344482,31,-1.2596758503618426,22,0.6826923076923077,104,0.0,2,0.375,16,0.8333333333333334,12
Baseline (Phase 4 PL),2023,1.94871159720794,20,-0.4475600240251732,89,-0.888092012724816,17,0.30294936260585387,38,-0.4659157931760261,30,-0.9681018986671202,32,0.5043478260869565,115,0.1111111111111111,9,0.5,14,0.16666666666666666,6
Baseline (Phase 4 PL),2024,3.9613838403372563,18,-1.0491376434478454,83,0.7385349407042385,21,-0.15288298532797925,42,-0.5956246706031294,30,-0.6216022994152854,24,0.5039370078740157,127,0.5,2,0.3684210526315789,19,0.5,6
Baseline (Phase 4 PL),2025,1.9269855322959109,15,-0.3003465897204633,82,-0.8022152797215647,13,-0.14841503247223556,45,-0.15678154152476032,26,-1.1024561770111465,28,0.6476190476190476,105,0.0,2,0.3333333333333333,24,0.3125,16
Baseline (Phase 4 PL),2026,1.0828913263209317,16,-0.7970467266934538,112,-1.1094975775231293,5,1.577462228847443,34,-0.8513793473660295,14,-0.6395385360756578,33,0.7209302325581395,129,,0,0.8571428571428571,14,0.6,10
