model,experiment,season,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
"A (current, with role)",A_structural_pl,2026,207,0.7101449275362319,0.8792270531400966,0.9323671497584541,0.20772946859903382,0.3671497584541063,0.7616747181964574,0.8906500740915976,0.008951372048015488,0.090537499038249,0.0045095470796930855,9522,745,0.5764765640652741,1.2834645478654088,-2.8636302874089945e-15,0.7167218606117551,5.580645161290323,1,True,1.0,3,0.8571428571428571,7,0.8,10
A role-free,A_structural_pl_rolefree,2012,198,0.5505050505050505,0.7727272727272727,0.8585858585858586,0.08080808080808081,0.21717171717171718,0.6464646464646465,1.3101388045337519,0.01312276364439744,0.12741805734950293,0.005361160520189336,8712,676,0.8004842471649355,1.5194002094320207,-7.462800922924129e-16,0.7532734343318495,11.35483870967742,3,False,0.3333333333333333,3,0.6,5,0.8,10
A role-free,A_structural_pl_rolefree,2013,198,0.5707070707070707,0.7676767676767676,0.8585858585858586,0.09090909090909091,0.23232323232323232,0.6582491582491583,1.35513016166678,0.013084155141415149,0.12851235053554805,0.006113962119937317,8712,677,0.794186281107646,1.5039149429094065,5.247730692467505e-17,0.7691216866976123,10.852941176470589,1,True,1.0,3,0.6,5,0.6,10
A role-free,A_structural_pl_rolefree,2014,198,0.6111111111111112,0.7828282828282829,0.8838383838383839,0.13131313131313133,0.29292929292929293,0.7138047138047137,1.2279354406266811,0.012469577660213543,0.11551147897809344,0.0052993160376789165,8712,663,0.7014380513593844,1.338006821559695,1.4468064755296158e-16,0.7684741456340153,10.366666666666667,5,False,0.5,4,0.75,8,0.8,10
A role-free,A_structural_pl_rolefree,2015,197,0.5939086294416244,0.7614213197969543,0.9035532994923858,0.10152284263959391,0.24873096446700507,0.6869712351945857,1.244712595043404,0.012600716892913649,0.11712921781688117,0.004643887102045552,8668,665,0.6826462927967206,1.3315973165477613,7.746518547760491e-17,0.7679801528706474,12.235294117647058,1,True,0.6666666666666666,3,0.8,5,0.7,10
A role-free,A_structural_pl_rolefree,2016,198,0.6161616161616161,0.797979797979798,0.8888888888888888,0.11616161616161616,0.25252525252525254,0.6902356902356903,1.2003579510897016,0.01256083480718919,0.11125283230961613,0.0023302586001352293,8712,656,0.7411070521989916,1.5541661225495527,4.495049319214048e-15,0.7597988612823467,10.0,1,True,0.6666666666666666,3,0.42857142857142855,7,0.6666666666666666,12
A role-free,A_structural_pl_rolefree,2017,198,0.6262626262626263,0.8333333333333334,0.9090909090909091,0.11616161616161616,0.2727272727272727,0.6986531986531987,1.0756096495871255,0.011627757285429339,0.108660938173422,0.0023083168717585338,8712,656,0.6959844130118309,1.4663679112988741,3.222354632448625e-16,0.7688860749269315,9.216216216216216,2,False,1.0,3,0.6,5,0.5,10
A role-free,A_structural_pl_rolefree,2018,198,0.5353535353535354,0.7424242424242424,0.8636363636363636,0.09595959595959595,0.2878787878787879,0.6936026936026937,1.4036248180918662,0.014172076545108317,0.11510907169621296,0.003954019634719698,8712,656,0.8206884778297577,1.7688605168038658,3.2180220547915515e-14,0.777482330151199,13.735294117647058,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
A role-free,A_structural_pl_rolefree,2019,198,0.6313131313131313,0.8080808080808081,0.9090909090909091,0.12121212121212122,0.2777777777777778,0.7087542087542088,1.1338162934425746,0.01167585813884944,0.10624170508968721,0.004546277564969963,8712,654,0.706053253026385,1.4231143007820053,-8.134845159027141e-16,0.7504636477175737,8.612903225806452,3,False,0.75,4,0.6,5,0.8,10
A role-free,A_structural_pl_rolefree,2020,153,0.5620915032679739,0.7320261437908496,0.8954248366013072,0.0718954248366013,0.24183006535947713,0.6688453159041395,1.3101070074785088,0.013292085087529555,0.12244669671923995,0.0039649367788100395,6732,654,0.6434264282435385,1.2679726860123208,-2.824787634520276e-16,0.7576280676251513,9.666666666666666,1,True,0.5,4,0.75,8,0.8,10
A role-free,A_structural_pl_rolefree,2021,198,0.6868686868686869,0.8636363636363636,0.9191919191919192,0.1414141414141414,0.30303030303030304,0.7121212121212122,1.0631337934694949,0.009901099863037782,0.10162525987852591,0.004524738378474798,9108,674,0.6943205478257425,1.4653001450119238,-4.480425262582234e-17,0.7478776442977522,7.645161290322581,1,True,1.0,3,0.6666666666666666,6,0.9,10
A role-free,A_structural_pl_rolefree,2022,198,0.6666666666666666,0.8383838383838383,0.898989898989899,0.07575757575757576,0.26262626262626265,0.6936026936026936,1.081042574683419,0.010849165673264868,0.10178468380021997,0.003526521969143244,9108,683,0.6766347175776896,1.426705341528395,-2.5227908260882035e-16,0.7734994516276228,15.0,4,False,0.3333333333333333,3,0.8,5,0.7,10
A role-free,A_structural_pl_rolefree,2023,207,0.5169082125603864,0.6956521739130435,0.821256038647343,0.03864734299516908,0.2028985507246377,0.6167471819645733,1.5289320135802382,0.013743580381087037,0.12145510350562128,0.004262168916814808,9522,663,0.8727180280907214,1.857882083613298,-2.7864421010200007e-15,0.7370062709378141,9.566666666666666,6,False,0.6666666666666666,3,0.6,5,0.7,10
A role-free,A_structural_pl_rolefree,2024,207,0.5072463768115942,0.7101449275362319,0.821256038647343,0.05314009661835749,0.20772946859903382,0.6231884057971016,1.5102519252494802,0.014040969006149304,0.11857079351935734,0.004503788643609226,9522,658,0.8698054652738783,1.8399237501424655,-5.939187001034272e-16,0.7343172547711644,7.088235294117647,3,False,0.6666666666666666,3,0.4,5,0.6,10
A role-free,A_structural_pl_rolefree,2025,207,0.5507246376811594,0.7391304347826086,0.8599033816425121,0.06280193236714976,0.16908212560386474,0.6360708534621579,1.3980530236960655,0.013259886780623207,0.11671537220260678,0.0043463202016046885,9522,742,0.740158325724169,1.7436618584851458,3.083487343864586e-15,0.7110625388865843,9.066666666666666,6,False,0.6666666666666666,3,0.4,5,0.7,10
A role-free,A_structural_pl_rolefree,2026,207,0.7053140096618358,0.8647342995169082,0.9323671497584541,0.18840579710144928,0.3719806763285024,0.7568438003220613,0.8898342710088324,0.00897456669299998,0.09131941489378773,0.004885038190326269,9522,745,0.5850045976091117,1.2857510693742424,-2.092286075937879e-15,0.7152466124794469,5.548387096774194,1,True,1.0,3,0.7142857142857143,7,0.9,10
