model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
"Performance ML (B, default params)",season_ev_bias_by_role,MEDIUM_FORWARD,all,,,,,382.0,-0.6194619574399107,1.4263166532315916
"Performance ML (B, default params)",season_ev_bias_by_role,MIDFIELDER,all,,,,,1892.0,-0.051325915148753475,2.1219394650494223
"Performance ML (B, default params)",season_ev_bias_by_role,MIDFIELDER_FORWARD,all,,,,,74.0,-0.22219488535932513,1.9170005474242642
"Performance ML (B, default params)",season_ev_bias_by_role,RUCK,all,,,,,244.0,-0.30354995886224656,1.9358891196753374
"Performance ML (B, default params)",season_ev_bias_by_role,UNKNOWN,all,,,,,34.0,-0.7296836777176723,0.9590166857596695
"Performance ML (B, default params)",season_ev_bias_by_role,KEY_DEFENDER,recent (2022-2026),,,,,66.0,-0.7436141081780221,1.4589421855948848
"Performance ML (B, default params)",season_ev_bias_by_role,KEY_FORWARD,recent (2022-2026),,,,,143.0,-0.3704621658600973,1.3274578239246309
"Performance ML (B, default params)",season_ev_bias_by_role,MEDIUM_DEFENDER,recent (2022-2026),,,,,194.0,0.18245752784099217,1.8252773645675444
"Performance ML (B, default params)",season_ev_bias_by_role,MEDIUM_FORWARD,recent (2022-2026),,,,,153.0,-0.6015183052473231,1.5201358619033318
"Performance ML (B, default params)",season_ev_bias_by_role,MIDFIELDER,recent (2022-2026),,,,,455.0,-0.47786625132753346,2.523395617281965
"Performance ML (B, default params)",season_ev_bias_by_role,MIDFIELDER_FORWARD,recent (2022-2026),,,,,59.0,-0.23733052990965606,1.9829291139473775
"Performance ML (B, default params)",season_ev_bias_by_role,RUCK,recent (2022-2026),,,,,84.0,0.6978598919162825,2.306382649090839
"Performance ML (B, default params)",season_ev_bias_by_role,UNKNOWN,recent (2022-2026),,,,,4.0,-0.7877326730771972,0.7877326730771972
Performance ML (B),role,KEY_DEFENDER,all,42.0,0.19047619047619047,0.17997674281193848,0.01418918918918919,,,
Performance ML (B),role,KEY_FORWARD,all,200.0,0.655,0.4693213263909721,0.06756756756756757,,,
Performance ML (B),role,MEDIUM_DEFENDER,all,181.0,0.3867403314917127,0.29477046651022426,0.06114864864864865,,,
Performance ML (B),role,MEDIUM_FORWARD,all,161.0,0.453416149068323,0.333902920052117,0.05439189189189189,,,
Performance ML (B),role,MIDFIELDER,all,1901.0,0.6317727511835876,0.4380197881471872,0.6422297297297297,,,
Performance ML (B),role,MIDFIELDER_FORWARD,all,46.0,0.6086956521739131,0.3939774783463792,0.015540540540540541,,,
Performance ML (B),role,RUCK,all,135.0,0.362962962962963,0.27139848350300566,0.04560810810810811,,,
Performance ML (B),role,UNKNOWN,all,294.0,0.5816326530612245,0.4170386084507531,0.09932432432432432,,,
Performance ML (B),role,KEY_DEFENDER,recent (2022-2026),16.0,0.25,0.19720940017645053,0.015594541910331383,,,
Performance ML (B),role,KEY_FORWARD,recent (2022-2026),88.0,0.6931818181818182,0.515760381999243,0.08576998050682261,,,
Performance ML (B),role,MEDIUM_DEFENDER,recent (2022-2026),94.0,0.4148936170212766,0.3096598880825439,0.09161793372319688,,,
Performance ML (B),role,MEDIUM_FORWARD,recent (2022-2026),73.0,0.4246575342465753,0.315873448224241,0.07115009746588694,,,
Performance ML (B),role,MIDFIELDER,recent (2022-2026),636.0,0.6053459119496856,0.4241596142550795,0.6198830409356725,,,
Performance ML (B),role,MIDFIELDER_FORWARD,recent (2022-2026),33.0,0.5757575757575758,0.36252619546373405,0.03216374269005848,,,
