model,experiment,season,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
"Performance ML (B, default params)",B_performance_xgb_rank,2024,190,0.531578947368421,0.7473684210526316,0.8315789473684211,0.07368421052631578,0.23157894736842105,0.6456140350877192,1.4725818019079242,0.013541095387405644,0.12741945759919912,0.0049645015042394346,8740,564,1.0646726099214152,2.0469627421057353,-0.00623677374454345,0.7563849181922958,6.911764705882353,2,False,0.6666666666666666,3,0.4,5,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2025,193,0.533678756476684,0.7772020725388601,0.8860103626943006,0.05181347150259067,0.18652849740932642,0.6580310880829016,1.3308946223079219,0.012867140684969386,0.1204523854511943,0.004872410798911294,8878,559,0.987091006930192,1.9658781448210092,-0.009337072397873722,0.7625337648127746,7.166666666666667,8,False,0.6666666666666666,3,0.4,5,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2026,191,0.6492146596858639,0.8534031413612565,0.9214659685863874,0.14136125654450263,0.3612565445026178,0.7417102966841188,0.9983436266491575,0.009971678848929516,0.09943264255275311,0.007734179753937152,8786,569,0.865355988685121,1.6565393291583137,-0.003264048812059599,0.7640178741632663,5.032258064516129,1,True,0.6666666666666666,3,0.8571428571428571,7,0.9,10
Performance ML (B),B_performance_xgb_rank_tuned,2012,183,0.5519125683060109,0.7978142076502732,0.8688524590163934,0.07650273224043716,0.2185792349726776,0.6557377049180327,1.278460615125755,0.0131775231428763,0.12066890518099051,0.005285621341378644,8052,544,0.928321806865053,1.684236025408402,0.0017618006629865706,0.7873782939879798,10.161290322580646,2,False,0.6666666666666666,3,0.8,5,0.8,10
Performance ML (B),B_performance_xgb_rank_tuned,2013,174,0.5402298850574713,0.735632183908046,0.8448275862068966,0.05747126436781609,0.21264367816091953,0.6628352490421455,1.3395319774220924,0.012990907987417854,0.12075944802437538,0.004322467393677739,7656,571,0.8949045380417927,1.621657824007067,0.0010463600785914626,0.7911211575348689,10.5,1,True,1.0,3,0.6,5,0.6,10
Performance ML (B),B_performance_xgb_rank_tuned,2014,183,0.6065573770491803,0.7814207650273224,0.8961748633879781,0.10382513661202186,0.29508196721311475,0.7140255009107469,1.1743064260278555,0.012179753285567885,0.10939489797333153,0.005086256358698163,8052,558,0.797445784784576,1.4265081961951065,-0.0010624484601620052,0.7981366339055261,9.066666666666666,4,False,0.75,4,0.75,8,0.8,10
Performance ML (B),B_performance_xgb_rank_tuned,2015,178,0.5898876404494382,0.7640449438202247,0.8651685393258427,0.10112359550561797,0.23595505617977527,0.6872659176029963,1.2128975948755059,0.01256942350934996,0.10924553708239142,0.004096945097650461,7832,557,0.8103855128734748,1.5585053911027877,-0.0023154846153613175,0.8056827040273783,13.117647058823529,2,False,0.6666666666666666,3,1.0,5,0.7,10
Performance ML (B),B_performance_xgb_rank_tuned,2016,179,0.6089385474860335,0.8044692737430168,0.8715083798882681,0.0893854748603352,0.24581005586592178,0.6871508379888268,1.2166215423871072,0.012789015949936306,0.11104584807452604,0.0031024068719804443,7876,560,0.9296289577712981,1.8038110207844826,-0.0015440561443982505,0.7834234923785536,11.583333333333334,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5,12
Performance ML (B),B_performance_xgb_rank_tuned,2017,181,0.6353591160220995,0.850828729281768,0.9005524861878453,0.11602209944751381,0.27071823204419887,0.7145488029465931,1.0629855109223416,0.011312388799357082,0.10624294525965586,0.003948251908428312,7964,551,0.8150762569721621,1.5396424048624888,-0.0021057631600771877,0.7997825754939499,9.432432432432432,1,True,1.0,3,0.6,5,0.6,10
Performance ML (B),B_performance_xgb_rank_tuned,2018,184,0.5108695652173914,0.7663043478260869,0.8586956521739131,0.09239130434782608,0.2717391304347826,0.6865942028985507,1.3666713574554132,0.014223562204588648,0.11254430141108492,0.0033072155110389447,8096,552,0.9249940952279606,1.8331464672278084,-0.00457786197432902,0.8048619826739769,13.264705882352942,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11
Performance ML (B),B_performance_xgb_rank_tuned,2019,184,0.6358695652173914,0.8206521739130435,0.9130434782608695,0.11956521739130435,0.30978260869565216,0.7192028985507245,1.1356350119965648,0.011740639598885043,0.10618709684320811,0.0031711809373302473,8096,552,0.8462745220173983,1.6021660849442416,-0.003644058050720855,0.7787480396001626,9.064516129032258,2,False,0.75,4,0.6,5,0.7,10
Performance ML (B),B_performance_xgb_rank_tuned,2020,125,0.6,0.776,0.872,0.12,0.24,0.6613333333333334,1.3143253905071184,0.013275092488640044,0.11747013030087304,0.0034659105081150175,5500,522,0.7471372441154326,1.3705215240914208,0.011180846879839145,0.7856328883198936,14.078947368421053,1,True,0.75,4,0.875,8,0.9,10
Performance ML (B),B_performance_xgb_rank_tuned,2021,180,0.6944444444444444,0.8555555555555555,0.9277777777777778,0.14444444444444443,0.3055555555555556,0.7148148148148149,1.0672812299308054,0.010125598924832287,0.10579266817202884,0.008188694119216942,8280,569,0.806862163327986,1.600048917689257,-0.0021240950141756076,0.783199434513039,6.354838709677419,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
Performance ML (B),B_performance_xgb_rank_tuned,2022,183,0.6010928961748634,0.8306010928961749,0.8743169398907104,0.08196721311475409,0.24043715846994534,0.6885245901639344,1.123140342047687,0.011132075949905005,0.09986235432456483,0.0033543774808797878,8418,573,0.7662498236926814,1.4849786083302148,0.0018915459265913183,0.807195557297594,14.117647058823529,4,False,0.3333333333333333,3,0.8,5,0.7,10
Performance ML (B),B_performance_xgb_rank_tuned,2023,181,0.49171270718232046,0.7016574585635359,0.8176795580110497,0.04419889502762431,0.22099447513812154,0.6243093922651933,1.5415996742317344,0.01384885972370372,0.11750209966688155,0.00400033330356459,8326,573,0.9830802178855579,1.9625164140616802,0.0026269262826346712,0.7593300962242966,9.3,5,False,0.6666666666666666,3,0.8,5,0.7,10
Performance ML (B),B_performance_xgb_rank_tuned,2024,190,0.5368421052631579,0.7421052631578947,0.8315789473684211,0.07894736842105263,0.22631578947368422,0.6473684210526317,1.4562651336453205,0.013462946325516041,0.12677839944979064,0.005314740394278352,8740,564,1.0586397347988958,2.0372352137913867,-0.00616852419147543,0.757764756613838,6.735294117647059,2,False,0.6666666666666666,3,0.4,5,0.7,10
Performance ML (B),B_performance_xgb_rank_tuned,2025,193,0.538860103626943,0.7512953367875648,0.8860103626943006,0.06217616580310881,0.18134715025906736,0.6545768566493956,1.3170005893935663,0.012847190320641435,0.1191023701797405,0.004530878248553765,8878,559,0.9615508182513519,1.8903414272166486,-0.00876305544704386,0.7651736157223975,6.833333333333333,7,False,0.6666666666666666,3,0.6,5,0.7,10
