market_type,market_name,selection,player,team,opponent_or_pair,line,odds,implied_probability,model_probability,probability_edge_pp,expected_value,model_disagreement,structural_break_sensitivity,simulation_uncertainty,confidence_tier,audit_status,audit_notes,quality_label,source_url,timestamp
PICK_YOUR_OWN_VOTES,To Poll a Vote,Finn O'Sullivan,Finn O'Sullivan,,,1.0,1.84,0.5434782608695652,0.42991,-11.356826086956517,-0.20896559999999997,0.2956737823476173,0.2694990689803132,5.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 15 or more votes,Caleb Serong,Caleb Serong,,,15.0,1.66,0.6024096385542169,0.48829,-11.411963855421693,-0.1894386,0.7101854195620962,0.4478862385459248,14.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-15-or-more-votes-10865474,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 15 or more votes,Max Gawn,Max Gawn,,,15.0,1.01,0.9900990099009901,0.87485,-11.524900990099008,-0.11640149999999994,3.6638325386388537,0.7559909067700943,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-15-or-more-votes-10865474,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Dan Houston,Dan Houston,,,1.0,1.16,0.8620689655172414,0.74534,-11.672896551724143,-0.13540560000000001,0.4857844237889182,0.3512145583809665,6.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Francis Evans,Francis Evans,,,1.0,1.14,0.8771929824561404,0.75799,-11.920298245614037,-0.1358914,0.1054512159882592,0.0822795338961186,6.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
TOP_N,Top 5 Finish (Includes Ineligible),Jordan Dawson,Jordan Dawson,,,5.0,4.5,0.2222222222222222,0.10241,-11.981222222222222,-0.539155,0.6454235874816163,0.6454235874816163,12.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-5-finish-includes-ineligible--10804245,2026-09-17T04:16:34.686425+00:00
TEAM_VOTES_OU,Adelaide Crows Team Votes O/U,Under,,Adelaide Crows,,84.5,1.87,0.53475935828877,0.41462,-12.013935828876999,-0.2246606,,,,UNKNOWN,PRICE_SUSPECT,Over and Under both priced at 1.87 - flat/templated pricing pattern shared across most team O/U markets; held out of headline value pending a market refresh,REVIEW REQUIRED — PRICE FRESHNESS,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-team-votes-o-u/adelaide-crows-team-votes-o-u-10911236,2026-09-17T04:16:34.686425+00:00
TOP_N,Top 5 Finish (Includes Ineligible),Jai Newcombe,Jai Newcombe,,,5.0,6.0,0.16666666666666666,0.04586,-12.080666666666666,-0.72484,0.1835185378956296,0.1057104600025269,14.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-5-finish-includes-ineligible--10804245,2026-09-17T04:16:34.686425+00:00
TEAM_TOP_POLLER,Richmond Most Votes - Without T.Taranto,Seth Campbell,Seth Campbell,Richmond,,,8.0,0.125,0.0015555,-12.34445,-0.987556,0.0472201193068816,0.0421579190372309,3.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-teams/richmond-most-votes-without-t-taranto-10819444,2026-09-17T04:16:34.686425+00:00
TEAM_TOP_POLLER,Western Bulldogs Most Votes - Without M.Bontempelli/E.Richards,Bailey Dale,Bailey Dale,Western Bulldogs,,,8.0,0.125,0.0,-12.5,-1.0,0.7042861500631896,0.4931280727555629,8.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,NO EDGE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-teams/western-bulldogs-most-votes-without-m-bontempelli-e-richards-10819445,2026-09-17T04:16:34.686425+00:00
