player_id,player_name,team_id,prob_winner,prob_top2,prob_top3,prob_top5,prob_top7,prob_top10,mean_votes
12354,Bailey Dale,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,1.41485
12373,Caleb Daniel,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,1.395
13263,Cooper Trembath,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,1.3826
12076,Dayne Zorko,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,1.36045
12498,Ben Ainsworth,carlton,0.0,0.0,0.0,0.0,0.0,0.0,1.34195
13050,Ned Moyle,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,1.33845
12601,Jake Waterman,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,1.3186
12519,Jarrod Berry,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,1.3072
11845,Jack Gunston,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,1.2961
13065,Lachlan McAndrew,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,1.28925
12177,Jarrod Witts,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,1.2623
13168,Archie Roberts,essendon,0.0,0.0,0.0,0.0,0.0,0.0,1.2588
13110,Darcy Wilson,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,1.2469
13026,Darcy Wilmot,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,1.20825
12891,Sam De Koning,geelong,0.0,0.0,0.0,0.0,0.0,0.0,1.1987
12598,Bayley Fritsch,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,1.16595
12300,Tim Membrey,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,1.1503
11905,Jack Darling,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,1.1472
12796,Dylan Stephens,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,1.13055
12844,Joel Amartey,sydney,0.0,0.0,0.0,0.0,0.0,0.0,1.1287
12703,Callum Wilkie,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,1.12705
13190,Sam Lalor,richmond,0.0,0.0,0.0,0.0,0.0,0.0,1.1163
12495,Dan Houston,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,1.0942
12871,Tanner Bruhn,geelong,0.0,0.0,0.0,0.0,0.0,0.0,1.0888
12664,Kane Farrell,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,1.08015
12689,Gryan Miers,geelong,0.0,0.0,0.0,0.0,0.0,0.0,1.07915
11713,Taylor Walker,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,1.07005
13100,Seth Campbell,richmond,0.0,0.0,0.0,0.0,0.0,0.0,1.06855
12810,Sam Draper,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,1.05605
13212,Matt Carroll,carlton,0.0,0.0,0.0,0.0,0.0,0.0,1.0304
12594,Aaron Naughton,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,1.0247
12060,Bradley Hill,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,1.0211
13021,Sam Darcy,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,1.0175
13236,Nick Madden,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,1.0085
12469,Blake Hardwick,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,1.00005
12700,Lachie Schultz,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.99995
11953,Luke Parker,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.99075
12367,Alex Neal-Bullen,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.98435
12873,Francis Evans,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.96525
12755,Jye Caldwell,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.94295
NOID2026_brisbane_lions_charliecameron,Charlie Cameron,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,0.93545
12851,Oliver Henry,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.93375
13049,Bailey Humphrey,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.92925
13160,Lawson Humphries,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.924
12537,Tim English,western_bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,0.9223
12899,Nick Bryan,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.9185
13041,Bodhi Uwland,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.86955
13022,Jai Serong,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.8646
12906,Ned Reeves,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,0.8598
13292,Willem Duursma,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.836
13197,Levi Ashcroft,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,0.82405
12505,Tom Stewart,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.8227
13023,Ned Long,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.81695
12497,Oliver Florent,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.7933
13279,Phoenix Gothard,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.7913
12592,Cam Rayner,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,0.78825
12966,Neil Erasmus,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,0.77635
12627,Tom McCartin,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.76795
12509,Will Hayward,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.76325
11948,Tom Lynch,richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.7561
13075,Karl Worner,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,0.7485
12542,Luke Ryan,fremantle,0.0,0.0,0.0,0.0,0.0,0.0,0.73575
13064,George Wardlaw,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.73315
13307,Sullivan Robey,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.7187
13132,Daniel Curtin,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.7183
12434,Ben Keays,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.70995
12440,Jacob Hopper,richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.7033
12998,Massimo DAmbrosio,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,0.69305
13283,Dyson Sharp,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.66845
12413,Callum Mills,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.66475
12863,Braeden Campbell,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.66135
12745,Hayden McLean,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.65015
12951,Angus Sheldrick,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.64435
12724,Darcy Fort,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,0.63715
12904,Kieren Briggs,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.6351
12824,Sam Flanders,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,0.6348
13066,Oisin Mullin,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.63255
13054,Aaron Cadman,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.6186
13297,Talor Byrne,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.61535
12861,Logan McDonald,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.61105
12931,Jake Bowey,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.58765
12603,Adam Cerra,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.5844
12558,Josh Battle,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,0.57085
12578,Patrick Lipinski,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.5654
12312,Mason Wood,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,0.56425
12600,Liam Ryan,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,0.54985
13222,Josaia Delana,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.54155
13146,Edward Allan,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.5238
12938,Charlie Comben,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.51765
13148,Nate Caddy,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.5121
12521,Ben Long,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.51135
13195,Riley Bice,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.50835
12165,Rory Laird,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.5026
13057,Josh Weddle,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,0.4965
12404,Mitch McGovern,carlton,0.0,0.0,0.0,0.0,0.0,0.0,0.4954
12729,Peter Ladhams,sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.4905
12933,Joel Jeffrey,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.4841
12867,Miles Bergman,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.47365
12418,Jayden Short,richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.4689
13036,Mattaes Phillipou,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,0.4669
13038,Reuben Ginbey,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.4594
11847,Rhys Stanley,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.4577
12393,Ed Langdon,melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.4478
12912,Josh Worrell,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.43665
12433,Aliir Aliir,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.43015
13220,Hugh Boxshall,st_kilda,0.0,0.0,0.0,0.0,0.0,0.0,0.42945
12652,Wil Powell,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.4273
13238,Archie May,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.41585
12728,Ben King,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.4099
NOID2026_west_coast_jackgraham,Jack Graham,west_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.40885
12750,Connor Idun,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.4087
12557,Cameron Zurhaar,north_melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.396
13019,Mac Andrew,gold_coast,0.0,0.0,0.0,0.0,0.0,0.0,0.39515
13280,Toby Murray,adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.39
11751,Steele Sidebottom,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.389
12491,Andrew McGrath,essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.3806
13001,Ryan Angwin,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.36875
11917,Dion Prestia,richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.36635
12371,Brayden Maynard,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.35425
13248,Roan Steele,collingwood,0.0,0.0,0.0,0.0,0.0,0.0,0.3475
12772,Toby Bedford,greater_western_sydney,0.0,0.0,0.0,0.0,0.0,0.0,0.34745
12340,Harris Andrews,brisbane_lions,0.0,0.0,0.0,0.0,0.0,0.0,0.3441
13188,Joe Berry,port_adelaide,0.0,0.0,0.0,0.0,0.0,0.0,0.33455
12357,Karl Amon,hawthorn,0.0,0.0,0.0,0.0,0.0,0.0,0.33345
13122,Connor OSullivan,geelong,0.0,0.0,0.0,0.0,0.0,0.0,0.3328
13117,Kane McAuliffe,richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.33055
