rank,player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect,sim_mean_votes,sim_median_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,prob_rank_1,prob_top3_rank,prob_top10_rank,projected_3_vote_games,projected_2_vote_games,projected_1_vote_games
13,11966,Max Gawn,melbourne,19.339888808758968,20.964114479371105,16.433170233740032,20.08477652949592,19.786821441201145,19.45162196686952,19.600599511016902,19.01925579601312,0.7448877207369513,3.651606295755887,1.6242256706121374,19.02884,19.0,14.0,24.0,11.0,27.0,0.99432,0.87482,0.4477,0.08471,0.00529,9e-05,0.0,0.01712,0.32617,3,6,4
14,12771,Kysaiah Pickett,melbourne,18.913645223901884,18.348649778713792,18.99371688223987,18.94440594220192,18.932101654881905,18.91825933164689,18.924411475306893,18.94042580697449,0.0307607183000335,0.0800716583379852,-0.5649954451880923,18.94786,19.0,16.0,22.0,14.0,24.0,0.99997,0.96796,0.3967,0.01996,0.00015,0.0,0.0,0.00198,0.23067,5,2,0
15,12915,Jai Newcombe,hawthorn,18.59034645865007,18.46402121435874,18.56812290086055,18.286533656177077,18.40805877716627,18.54477453827912,18.48401197778452,18.479567266226617,0.3038128024729971,0.3038128024729971,-0.1263252442913298,18.48419,18.0,14.0,23.0,12.0,26.0,0.99559,0.86545,0.38124,0.05176,0.00214,3e-05,0.0,0.00844,0.25518,5,3,2
16,12605,Ed Richards,western_bulldogs,18.11295724381421,16.79117973993059,18.05476659867738,17.906620312477667,17.98915508501229,18.08200670411373,18.040739317846423,18.02910118881906,0.2063369313365477,0.2063369313365477,-1.3217775038836237,18.01656,18.0,14.0,22.0,12.0,25.0,0.99772,0.86089,0.31608,0.02771,0.00056,0.0,0.0,0.00452,0.20005,4,3,3
17,12956,Jason Horne-Francis,port_adelaide,17.193720156800175,16.952071139527295,17.239257192629296,16.521281773570962,16.790257126862652,17.092854399315804,16.958366722669957,16.96747412983578,0.6724383832292133,0.7179754190583338,-0.2416490172728806,16.95888,17.0,13.0,21.0,11.0,23.0,0.9917,0.77559,0.21377,0.01102,9e-05,0.0,0.0,0.00124,0.12337,4,2,4
18,12797,Chad Warner,sydney,14.357791175284628,15.3297309548708,14.94539961171803,14.95661532530938,14.717085665299496,14.447614797788368,14.567379627793311,14.684901315079989,0.5988241500247522,0.5988241500247522,0.9719397795861724,14.7038,15.0,10.0,19.0,8.0,22.0,0.94529,0.51087,0.0825,0.0032,4e-05,0.0,0.0,0.00042,0.0435,1,5,4
19,12786,Caleb Serong,fremantle,14.209205895600586,15.652020820834275,14.921462384441918,14.651032432699257,14.474301817859788,14.275479876165386,14.36384518358512,14.506296481353386,0.4418265370986685,0.7122564888413319,1.442814925233689,14.5165,14.0,10.0,19.0,8.0,22.0,0.92778,0.48957,0.08386,0.00378,0.00012,0.0,0.0,0.00052,0.04353,3,1,5
20,12862,Errol Gulden,sydney,14.362703491887457,14.601922152903384,14.395696538373178,14.399163982233109,14.384579786094848,14.368172565439306,14.375464663508437,14.382063272805578,0.036460490345652,0.036460490345652,0.2392186610159274,14.38574,14.0,12.0,17.0,11.0,18.0,0.99448,0.4763,0.00399,0.0,0.0,0.0,0.0,0.0,0.00168,5,1,0
21,12881,Max Holmes,geelong,14.182032390053443,14.155862815911744,14.180827046074649,14.325661506207467,14.268209859745864,14.203576757476556,14.232302580707358,14.232061511911612,0.1436291161540221,0.1448344601328184,-0.0261695741417007,14.23253,14.0,10.0,18.0,9.0,20.0,0.9463,0.45673,0.0436,0.00077,0.0,0.0,0.0,7e-05,0.01959,4,2,3
22,12410,Clayton Oliver,greater_western_sydney,13.745271977805672,10.578464869950588,15.288489711290527,13.416757589460255,13.548163344798422,13.69599481955386,13.630291941884776,13.938935488581745,0.3285143883454164,1.8717321218302736,-3.166807107855085,13.91517,14.0,9.0,19.0,7.0,22.0,0.87792,0.42495,0.07763,0.00498,0.00014,1e-05,0.0,0.00074,0.04348,1,4,5
23,12535,Shai Bolton,fremantle,13.673890166946938,11.756476300303506,14.281105160023095,13.35049535690386,13.479853280921091,13.625380945440476,13.56070198343186,13.682144982047094,0.3233948100430783,0.9306098031192356,-1.9174138666434324,13.67073,14.0,10.0,18.0,8.0,20.0,0.90473,0.38455,0.04514,0.00155,1e-05,0.0,0.0,0.00011,0.02086,3,1,4
24,12217,Brodie Grundy,sydney,13.389149879119948,13.19387044249608,11.394426198335378,13.04323948961196,13.181603645415152,13.337263320693753,13.268081242792157,12.86913650663524,0.3459103895079867,1.9947236807845703,-0.195279436623867,12.88034,13.0,9.0,17.0,7.0,19.0,0.86348,0.29299,0.02111,0.00029,0.0,0.0,0.0,3e-05,0.00966,1,5,2
25,12590,Luke Davies-Uniacke,north_melbourne,12.51467148931768,12.773854083063345,12.639536701634796,13.391770641138368,13.0409309804101,12.64623636209079,12.821656192454927,12.846629234918352,0.877099151820687,0.877099151820687,0.2591825937456615,12.84858,13.0,9.0,17.0,7.0,20.0,0.84399,0.30053,0.02612,0.00048,0.0,0.0,0.0,3e-05,0.01265,3,3,3
26,12779,Luke Jackson,fremantle,12.329721559125412,13.799260472185727,11.798454405175852,13.709288213930696,13.157461552008584,12.536656557346204,12.812569888307262,12.70631645751735,1.3795666548052845,1.9108338087548449,1.4695389130603154,12.71592,13.0,8.0,18.0,6.0,20.0,0.80499,0.30183,0.03956,0.00188,2e-05,0.0,0.0,0.00026,0.02003,2,4,4
27,11845,Jack Gunston,hawthorn,12.588820697305405,12.417475362572713,13.735788173920982,12.187196739296231,12.3478463224999,12.528577103604029,12.448252312002191,12.677645807325309,0.4016239580091696,1.548591434624749,-0.1713453347326918,12.67758,13.0,9.0,17.0,7.0,19.0,0.85191,0.27131,0.01342,7e-05,0.0,0.0,0.0,0.0,0.00526,3,3,2
28,12767,Noah Anderson,gold_coast,12.24586022055342,14.514970714628646,12.177503579454156,12.3751332619903,12.323424045415535,12.26525117676895,12.291105785056322,12.277434456836469,0.1292730414368819,0.1976296825361441,2.2691104940752265,12.27947,12.0,8.0,17.0,6.0,19.0,0.78763,0.25482,0.02115,0.00044,0.0,0.0,0.0,6e-05,0.00983,2,4,3
29,12684,Sam Walsh,carlton,11.618867215053626,12.34482556868088,12.1373055554816,12.084324175050472,11.898141391051732,11.688685759053152,11.781777151052522,11.885464819138116,0.4654569599968461,0.5184383404279735,0.7259583536272523,11.86309,12.0,7.0,17.0,5.0,19.0,0.73443,0.22893,0.02305,0.00076,2e-05,0.0,0.0,0.00013,0.01197,1,3,5
30,13111,Harley Reid,west_coast,11.33631546541644,10.690610077866074,12.038084309028925,11.510948745270657,11.441095433328972,11.362510457394574,11.397437113365418,11.537790882087911,0.1746332798542162,0.7017688436124843,-0.6457053875503664,11.54943,11.0,8.0,15.0,6.0,18.0,0.74729,0.16029,0.00579,1e-05,0.0,0.0,0.0,0.0,0.00277,3,2,1
31,12430,Christian Petracca,gold_coast,11.276392066409793,10.679335837999432,12.198140170875664,11.13231049452892,11.18994312328127,11.254779830627658,11.225963516251486,11.41031313714466,0.1440815718808696,1.065829676346743,-0.5970562284103575,11.40082,11.0,8.0,15.0,7.0,17.0,0.77171,0.11044,0.00189,1e-05,0.0,0.0,0.0,0.0,0.00081,3,1,0
32,13048,Jacob van Rooyen,melbourne,11.403620941927006,11.314178671970962,11.56475901683758,11.31655258183656,11.351379925872736,11.390560687913435,11.373147015895348,11.405374630877464,0.0870683600904449,0.2482064350010198,-0.0894422699560433,11.40479,11.0,10.0,13.0,9.0,15.0,0.91657,0.02963,1e-05,0.0,0.0,0.0,0.0,0.0,1e-05,4,0,0
33,12610,Zac Bailey,brisbane_lions,11.323794641279116,10.258762985954496,11.592542121435429,10.9803089617039,11.11770323353399,11.272271789342833,11.203574653427792,11.257324149459054,0.343485679575215,0.6122331597315291,-1.0650316553246189,11.26975,11.0,7.0,15.0,5.0,18.0,0.70016,0.1562,0.0084,0.0001,0.0,0.0,0.0,3e-05,0.00378,1,3,4
34,12589,Andrew Brayshaw,fremantle,10.92652720859797,11.965634832208474,10.818467790208627,11.8621131225852,11.487878756990307,11.066865095696052,11.2539822784935,11.232370394815632,0.9355859139872322,1.043645332376574,1.039107623610505,11.22225,11.0,7.0,15.0,5.0,18.0,0.69142,0.15452,0.00912,0.00016,0.0,0.0,0.0,1e-05,0.00403,1,4,1
35,12421,Charlie Curnow,sydney,10.47757696892297,10.000377194404818,10.936158234018016,9.883872188368027,10.121354100590017,10.388521251839746,10.269780295728756,10.36149654874776,0.5937047805549405,1.0522860456499874,-0.4771997745181515,10.3608,10.0,8.0,13.0,7.0,15.0,0.63805,0.02907,7e-05,0.0,0.0,0.0,0.0,0.0,1e-05,2,2,1
36,13193,Max Hall,st_kilda,10.235485029890082,9.49592181460749,10.222087899558591,10.489844117548556,10.388100482485378,10.273638893039,10.324510710570724,10.32183128450443,0.2543590876584751,0.2677562179899642,-0.7395632152825922,10.33106,10.0,7.0,14.0,5.0,16.0,0.60003,0.08049,0.00181,0.0,0.0,0.0,0.0,0.0,0.00079,2,1,3
37,12411,George Hewett,carlton,10.291629224470984,11.14238451375644,10.4715032480298,9.824548444031548,10.011380756207322,10.221567107405068,10.12815095131718,10.164125756028945,0.467080780439435,0.646954803998252,0.8507552892854573,10.17821,10.0,6.0,14.0,5.0,17.0,0.5708,0.08414,0.00279,1e-05,0.0,0.0,0.0,0.0,0.00129,3,0,2
