match_id,season,round,player_id,player_name,team_id,predicted_votes,p3,p2,p1,expected_votes
2026_R12_sydney_v_richmond_2026-05-30,2026,12,12797,Chad Warner,sydney,1,0.0152926215076718,0.24525138511900846,0.6816757902596086,1.2180564250206407
2026_R12_west_coast_v_essendon_2026-05-31,2026,12,13111,Harley Reid,west_coast,3,0.19732300643390283,0.17432241154289235,0.15112461382179831,1.0917384562092916
2026_R12_west_coast_v_essendon_2026-05-31,2026,12,13292,Willem Duursma,west_coast,2,0.13255265253096196,0.12943475238165786,0.12478801353062643,0.781315475886828
2026_R12_west_coast_v_essendon_2026-05-31,2026,12,13240,Tom McCarthy,west_coast,1,0.131574252616722,0.12866512987267928,0.12424276743475823,0.7762957850302828
2026_R12_western_bulldogs_v_collingwood_2026-05-30,2026,12,12943,Nick Daicos,collingwood,3,0.3298674879783873,0.24637198010152883,0.17494384681520508,1.6572902709534245
2026_R12_western_bulldogs_v_collingwood_2026-05-30,2026,12,12605,Ed Richards,western_bulldogs,2,0.1618013904629807,0.16956798461953143,0.16609085257890127,0.9906309932069062
2026_R12_western_bulldogs_v_collingwood_2026-05-30,2026,12,12318,Jordan de Goey,collingwood,1,0.14540802599058233,0.15582228322296632,0.15819063984900877,0.9060592842666884
2026_R13_adelaide_v_geelong_2026-06-04,2026,13,12516,Jordan Dawson,adelaide,3,0.6145589832722644,0.2548038547425582,0.09151786221729671,2.444802521519206
2026_R13_adelaide_v_geelong_2026-06-04,2026,13,12692,Bailey Smith,geelong,2,0.1332414173598758,0.24790411345853697,0.22136947958726172,1.116901958583963
2026_R13_adelaide_v_geelong_2026-06-04,2026,13,11700,Patrick Dangerfield,geelong,1,0.07042665561805418,0.1359552287643629,0.16961678016117634,0.6528072045440647
2026_R13_collingwood_v_melbourne_2026-06-08,2026,13,12943,Nick Daicos,collingwood,3,0.47598790031646393,0.4105909091886524,0.09617861041003313,2.34532412973673
2026_R13_collingwood_v_melbourne_2026-06-08,2026,13,12771,Kysaiah Pickett,melbourne,2,0.43600942211392146,0.43515751761865384,0.10805863840602743,2.286401939985099
2026_R13_collingwood_v_melbourne_2026-06-08,2026,13,11966,Max Gawn,melbourne,1,0.033307738947337566,0.05776936158075355,0.29822917438831936,0.5136911143918391
2026_R13_essendon_v_carlton_2026-06-07,2026,13,12925,Sam Durham,essendon,3,0.2277203806214447,0.20153696375420577,0.17165965125679872,1.2578947206295443
2026_R13_essendon_v_carlton_2026-06-07,2026,13,12241,Zach Merrett,essendon,2,0.20243770222141172,0.18764323346717326,0.16774064702110278,1.1503402206196844
