model,window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
Model0_Benchmark,recent8,2016,8,179,0.6089385474860335,0.3240223463687151,0.18994413407821228,0.0893854748603352,0.24581005586592178,0.6927374301675978,0.6927374301675978,0.4321319581748757,0.18469683756465383,0.08683794772572999,0.12904392780472218
Model1_PlackettLuce,recent8,2016,8,179,0.5921787709497207,0.329608938547486,0.25139664804469275,0.10614525139664804,0.2681564245810056,0.7076350093109869,0.7076350093109869,0.43208052975960276,0.172382193810085,0.0844379149724488,0.1254731522390489
Model2a_GBM_utility,recent8,2016,8,179,0.5642458100558659,0.3128491620111732,0.13966480446927373,0.061452513966480445,0.22346368715083798,0.6815642458100558,0.6815642458100558,0.42739887426644785,0.27458362550805476,0.11903607764157004,0.23738562842233984
Model2b_GBM_multiclass,recent8,2016,8,179,0.5586592178770949,0.3128491620111732,0.19553072625698323,0.0893854748603352,0.21787709497206703,0.6797020484171322,0.6797020484171322,0.43196068010105193,0.19109418875240858,0.08954155697411048,0.13540956878603894
Model0_Benchmark,expanding,2017,14,181,0.5966850828729282,0.32044198895027626,0.22099447513812154,0.10497237569060773,0.26519337016574585,0.6832412523020259,0.6832412523020259,0.4278792942374288,0.18912309720387208,0.08853005914624802,0.13485568034994264
Model1_PlackettLuce,expanding,2017,14,181,0.6574585635359116,0.3756906077348066,0.16574585635359115,0.10497237569060773,0.23204419889502761,0.6850828729281768,0.6850828729281768,0.42795576211345165,0.1776453851460927,0.08596566960636491,0.13264620467711924
Model2a_GBM_utility,expanding,2017,14,181,0.5911602209944752,0.3314917127071823,0.2265193370165746,0.11602209944751381,0.23204419889502761,0.6777163904235727,0.6777163904235727,0.42333192664077635,0.2749937903759526,0.11899190308776939,0.23560525909878532
Model2b_GBM_multiclass,expanding,2017,14,181,0.5027624309392266,0.292817679558011,0.24861878453038674,0.09392265193370165,0.23204419889502761,0.6685082872928176,0.6685082872928176,0.4255614348580601,0.19275853193902356,0.09189950737949724,0.1397510244547087
Model0_Benchmark,recent8,2017,8,181,0.6187845303867403,0.3149171270718232,0.23204419889502761,0.09392265193370165,0.2596685082872928,0.6850828729281768,0.6850828729281768,0.4283239087910391,0.18827929580110148,0.08707671577331445,0.12623043247389967
Model1_PlackettLuce,recent8,2017,8,181,0.6408839779005525,0.3370165745856354,0.1712707182320442,0.08287292817679558,0.2430939226519337,0.6924493554327809,0.6924493554327809,0.42930885294329163,0.17228938237605376,0.0839184727394484,0.1231746511685868
Model2a_GBM_utility,recent8,2017,8,181,0.585635359116022,0.32044198895027626,0.19889502762430938,0.10497237569060773,0.19889502762430938,0.6629834254143646,0.6629834254143646,0.42257511977101997,0.27370624439021146,0.11827824959894974,0.2338093159488609
Model2b_GBM_multiclass,recent8,2017,8,181,0.5580110497237569,0.34806629834254144,0.20441988950276244,0.0718232044198895,0.1878453038674033,0.6832412523020258,0.6832412523020258,0.42602063091593234,0.19070790623743172,0.09101045596235911,0.13498808310277938
Model0_Benchmark,expanding,2018,15,184,0.5543478260869565,0.2826086956521739,0.22826086956521738,0.09239130434782608,0.27717391304347827,0.6829710144927535,0.6829710144927535,0.4286617415241484,0.1944804774307225,0.09405395502282118,0.14354494583565472
Model1_PlackettLuce,expanding,2018,15,184,0.5163043478260869,0.28804347826086957,0.22282608695652173,0.11413043478260869,0.2826086956521739,0.6865942028985507,0.6865942028985507,0.42900082496135483,0.19419671334223107,0.09402120021556643,0.14177112257589755
Model2a_GBM_utility,expanding,2018,15,184,0.5,0.21739130434782608,0.1956521739130435,0.08152173913043478,0.22826086956521738,0.6739130434782609,0.6739130434782609,0.42754397817258016,0.28207324948333473,0.12276906850853138,0.24139030821795168
Model2b_GBM_multiclass,expanding,2018,15,184,0.5271739130434783,0.21739130434782608,0.18478260869565216,0.07065217391304347,0.22826086956521738,0.6739130434782609,0.6739130434782609,0.4304834016489307,0.19767464039587615,0.09390461771218955,0.14477035042785202
Model0_Benchmark,recent8,2018,8,184,0.5380434782608695,0.2554347826086957,0.21739130434782608,0.07065217391304347,0.2608695652173913,0.693840579710145,0.693840579710145,0.43011674595307886,0.204860100401347,0.09276868120034062,0.13434235507928385
Model1_PlackettLuce,recent8,2018,8,184,0.5434782608695652,0.31521739130434784,0.24456521739130435,0.13043478260869565,0.31521739130434784,0.6992753623188407,0.6992753623188407,0.4307413617915046,0.19097405976520437,0.09222048822719396,0.13107662244793172
Model2a_GBM_utility,recent8,2018,8,184,0.5217391304347826,0.2554347826086957,0.18478260869565216,0.08152173913043478,0.20108695652173914,0.6521739130434783,0.6521739130434783,0.4266138765080741,0.2778410678235319,0.12079111436488264,0.23643758734037731
Model2b_GBM_multiclass,recent8,2018,8,184,0.5217391304347826,0.21195652173913043,0.21739130434782608,0.08695652173913043,0.22282608695652173,0.6793478260869565,0.6793478260869565,0.4302621671794926,0.20141821766859916,0.09425503994596107,0.1384640497386523
