player_id,player_name,season,round,match_id,team_id,most_likely_votes,confidence,expected_votes,p3,p2,p1,p0
12055,Lachie Neale,2026,23,2026_R23_brisbane_lions_v_gold_coast_2026-08-15,brisbane_lions,0,HIGH,0.052889371777576626,0.0027701386329605053,0.013321284344443896,0.017936387189807314,0.9659721898327883
12055,Lachie Neale,2026,24,2026_R24_collingwood_v_brisbane_lions_2026-08-21,brisbane_lions,2,HIGH,1.8812667195148254,0.09984937145662937,0.7136222519397402,0.1544741012654569,0.03205427533817362
12798,Izak Rankine,2026,2,2026_R2_adelaide_v_western_bulldogs_2026-03-20,adelaide,0,HIGH,0.013562541012015369,0.0017233997694600456,0.0024390142810488025,0.003514313141537627,0.9923232728079536
12798,Izak Rankine,2026,3,2026_R3_geelong_v_adelaide_2026-03-26,adelaide,0,HIGH,0.0009873421546717357,4.383858981615806e-05,0.0002512764057586018,0.000353273573706058,0.9993516114307192
12798,Izak Rankine,2026,4,2026_R4_adelaide_v_fremantle_2026-04-03,adelaide,0,HIGH,0.0070095636753219285,0.0007936681756041824,0.0013848661393517999,0.001858826869805781,0.9959626388152382
12798,Izak Rankine,2026,5,2026_R5_adelaide_v_carlton_2026-04-09,adelaide,0,HIGH,0.5370059327481498,0.009540260741392007,0.16803036442172214,0.17232442168052944,0.6501049531563564
12798,Izak Rankine,2026,6,2026_R6_adelaide_v_st_kilda_2026-04-18,adelaide,0,HIGH,0.11822569233566481,0.013931584222546207,0.02328708409913015,0.029856771469765887,0.9329245602085577
12798,Izak Rankine,2026,7,2026_R7_brisbane_lions_v_adelaide_2026-04-26,adelaide,0,HIGH,0.005389348889216763,0.0005059312440402031,0.0008986397188015923,0.0020742757194929687,0.9965211533176653
12798,Izak Rankine,2026,8,2026_R8_adelaide_v_port_adelaide_2026-05-01,adelaide,0,HIGH,0.3286369118861785,0.03889632115247965,0.06256561242171253,0.0868167235853145,0.8117213428404932
12798,Izak Rankine,2026,9,2026_R9_richmond_v_adelaide_2026-05-10,adelaide,3,HIGH,2.648181694572444,0.6949650234911215,0.25762816089682133,0.048030302305436895,0.0
12798,Izak Rankine,2026,10,2026_R10_adelaide_v_north_melbourne_2026-05-16,adelaide,3,HIGH,2.449053503694276,0.6069387405732776,0.2671161365509017,0.09400500887263995,0.03194011400318077
12798,Izak Rankine,2026,11,2026_R11_hawthorn_v_adelaide_2026-05-21,adelaide,0,HIGH,0.013760766847124989,0.0017670396432015116,0.002408815286281784,0.0036420173449568877,0.9921821277255599
12798,Izak Rankine,2026,15,2026_R15_adelaide_v_melbourne_2026-06-20,adelaide,0,HIGH,0.2035841184027486,0.030861541092648347,0.03547998420466126,0.040039526715481055,0.8936189479872093
12798,Izak Rankine,2026,16,2026_R16_port_adelaide_v_adelaide_2026-06-27,adelaide,0,HIGH,0.0013564117872606743,1.5215434354552557e-05,0.00035825292749790333,0.0005942596292012098,0.9990322720089463
12798,Izak Rankine,2026,17,2026_R17_west_coast_v_adelaide_2026-07-03,adelaide,2,MEDIUM,1.2559654249918228,0.10990855947092562,0.3310038833350141,0.2642319799090176,0.29485557728504275
