,disposals,kicks,handballs,effective_disposals,disposal_efficiency_pct,contested_possessions,uncontested_possessions,clearances,centre_clearances,stoppage_clearances,tackles,goals,behinds,goal_assists,score_involvements,marks,contested_marks,inside_50s,metres_gained,hitouts,one_percenters,rebound_50s,frees_for,frees_against,disposals_match_z,disposals_team_share,disposals_gap_best_team,contested_possessions_match_z,clearances_match_z,goals_match_z,possession_impact_index,contest_index,scoring_index,territory_index,defensive_index,margin,absolute_margin,afl_fantasy_points,supercoach_points,brownlow_votes
tackles,0.2786880145321616,0.14796653359402714,0.3242570567720142,0.17620458415510107,-0.12779572033520967,0.360623894041047,0.1670605816663619,0.3965173111176059,0.3209270798905425,0.3502934408398718,1.0,0.03642341269160125,0.049983094531131984,0.1059562501756042,0.16493688064489756,-0.09461842513808862,-0.10683203030900024,0.2520940141109809,0.10960584709275918,0.024795518133756175,-0.09136852937697612,-0.017494133452161335,0.21653375951249446,0.11163419677469394,0.27064038116283606,0.2784557156601905,0.2408146094516516,0.33569308941049186,0.3623913183172433,0.028567758572044435,0.29623992972062096,0.7104398900470041,0.11294030196306827,0.13944536707721086,0.4427934382477151,0.019094822284560543,-0.024500588364752718,0.4247380999670356,0.32863683307880287,0.13244482861811976
goals,-0.008851003490812746,0.06458154889299784,-0.06938560873949845,-0.06985217467577647,-0.10624467208920145,0.1093576370979784,-0.04236945376024474,0.034502298365361436,0.0216005562040246,0.01837244089769122,0.03642341269160125,1.0,0.28919003179865066,0.1711723368742802,0.44697763182339584,0.08596479450876254,0.16477344211537892,0.1708690689104305,0.07127648058551755,0.07972183725505738,-0.17610092599803573,-0.3282865771058666,0.10610462290470957,0.027285933410353288,-0.014112037796158133,-0.028153548204332846,-0.02691709923293161,0.1077519086539436,0.029696510696605977,0.8326756980537336,0.0074379470715842865,0.0809325432258789,0.678625062792334,-0.03889284929650177,-0.27127621921456696,0.13164101156794258,0.013282680337820396,0.205309417143226,0.21107950466477998,0.1784994866031146
behinds,0.038391282525440835,0.09584132552568396,-0.026580016633909465,-0.09938659434421455,-0.32261283505012384,0.11755472796774123,0.006054549845527055,0.06383376189443009,0.03843503003723234,0.05099617217178677,0.049983094531131984,0.28919003179865066,1.0,0.14632159929455735,0.40669029681372054,0.07327830959717391,0.11096669397004981,0.18490178968881954,0.1040873725100137,0.057630805232626085,-0.1552771508977449,-0.2545260362148434,0.08616311416710246,0.022709023275927172,0.0332802775016041,0.025869543465328656,0.02230815409726352,0.11657861111345279,0.06138850644909148,0.25029327917399524,0.051744198140631505,0.1004235031005914,0.5221091100766212,0.01270199743915926,-0.2113227756805458,0.05579322945640522,0.006649554411013485,0.13213834415111586,0.06968921880664618,0.0976908128692789
goal_assists,0.16586125441686625,0.14106305764655214,0.13790434709343474,0.13045679739561133,-0.024980415398881,0.16245367690375218,0.14070974287466306,0.14651480773102843,0.12189029939333687,0.12231242215622506,0.1059562501756042,0.1711723368742802,0.14632159929455735,1.0,0.402040676750584,0.04859953593319021,-0.0032095705813731815,0.3215437165933576,0.1533223880523042,-0.0007812596059202925,-0.13643396091276142,-0.14611708965293993,0.06185668370943401,0.019509274000027516,0.16233729654060866,0.14925692883393854,0.12868097688226138,0.16443057446749054,0.13920337284145765,0.12597477599915716,0.17560359984828905,0.175787705553077,0.6517500748088428,0.14589911382930004,-0.10075991305539721,0.1439704178919435,0.02348166381766499,0.17565052344235843,0.21415048635838432,0.11932495149265977
score_involvements,0.43301885696421616,0.3636176553363337,0.33840317159351074,0.38200251591075207,-0.05610080089333469,0.37852504508417406,0.3518267790595544,0.31921252525912003,0.28096500723568973,0.282223370545734,0.16493688064489756,0.44697763182339584,0.40669029681372054,0.402040676750584,1.0,0.2010664834018489,0.057274974209703865,0.4539856527869512,0.367926083257812,0.05908365323039621,-0.2204234171396664,-0.18267642657026675,0.1614660135376963,0.036909342441145375,0.41424304188294575,0.38223965840489205,0.3219437137571596,0.38453326745433747,0.31037594245129757,0.34713755044034805,0.4380687926719999,0.36615782540417907,0.5608155946458424,0.27996322891263786,-0.13305272671939472,0.2802192214156222,0.04339942794929824,0.5331945822647637,0.5107135983295763,0.28480206926568574
marks,0.4199798498773839,0.5595122056496514,0.10687764118755329,0.42742489170729525,0.21474004794123555,0.06157776267721152,0.5174638454457542,-0.0998555184325166,-0.11845868251092723,-0.11328713676150322,-0.09461842513808862,0.08596479450876254,0.07327830959717391,0.04859953593319021,0.2010664834018489,1.0,0.3285391711385625,0.14126163453911503,0.37241450383322333,-0.062451399015491314,0.1472444371374449,0.29536306824127856,-0.0034040752904247,-0.020972375904193843,0.4032027972391111,0.3846063889054497,0.3184719619080699,0.078071333240025,-0.08556336161060867,0.06811907840820625,0.37776198850893694,-0.025761257743247636,0.07374228162515048,0.3658946587276248,0.2051849386079858,0.11447732926901177,0.04447930464592863,0.5134879552490107,0.3950208347386466,0.14398686086269816
contested_marks,-0.057776959670768346,0.03764801861317487,-0.13390970724261056,-0.06998606663829347,0.02997346299430973,0.15317589511055318,-0.16595494087344967,-0.1419589669484934,-0.10157667783680475,-0.14803063293032054,-0.10683203030900024,0.16477344211537892,0.11096669397004981,-0.0032095705813731815,0.057274974209703865,0.3285391711385625,1.0,-0.05602812208328094,-0.041375588629080896,0.21409669621895316,0.18428698950499817,-0.028289549372862224,0.04712023333550937,0.030459555989866393,-0.06294745829165813,-0.06835358916193342,-0.06249168069744249,0.1503725508916979,-0.1402198180396436,0.13670932361952307,-0.04213324654575477,-0.02121867204073486,0.10477402780313595,-0.04802459584935008,0.024627848285224133,0.04907562018322252,-0.008600122039220713,0.08160700429821026,0.1504227038975327,0.054973415713818315
inside_50s,0.49920561825038157,0.4946189234061792,0.32134235992172216,0.36829832454628386,-0.17510073337648907,0.38124954839276415,0.4333828782416131,0.4015938462518129,0.33414566746693597,0.3446644640573853,0.2520940141109809,0.1708690689104305,0.18490178968881954,0.3215437165933576,0.4539856527869512,0.14126163453911503,-0.05602812208328094,1.0,0.5882210747180081,-0.03284942092205127,-0.19062832808570215,-0.04829763405434736,0.16204901211774464,0.06489595656518828,0.4961221022077321,0.49070963631471554,0.42611930450566,0.37469857309106597,0.38196273303470163,0.14268825976602292,0.5090415367865908,0.4166114137450775,0.3437204081374691,0.6627280262728803,-0.017561834465545795,0.10679040987232395,-5.949599959994299e-05,0.4636042143744814,0.3845113165331956,0.22675588743460867
metres_gained,0.7131927072168438,0.8400358857747517,0.27903165901720217,0.6400495350210156,-0.04162831591366416,0.30967075706219804,0.6671248257937986,0.26392468383597595,0.18957143099051588,0.2597965305124149,0.10960584709275918,0.07127648058551755,0.1040873725100137,0.1533223880523042,0.367926083257812,0.37241450383322333,-0.041375588629080896,0.5882210747180081,1.0,-0.20080058111288132,-0.06271752133589321,0.4186335779852614,0.11234294733879249,-0.004819379580934416,0.7122382377824702,0.7114207186849723,0.6060578920398672,0.30372787834657533,0.2529146480806555,0.05791933949608127,0.6763662160886367,0.2732362559870766,0.1551058375189604,0.9063844158822558,0.25880149645632183,0.09744385979202086,-0.007527974839764308,0.6543758773964666,0.5797217365080706,0.26015897023663925
hitouts,-0.14714870967084182,-0.17694383198704974,-0.04562491867430155,-0.18899993464069825,-0.09443806378754545,0.10887427676217579,-0.2509401808566152,0.1606968377955737,0.1494936173345869,0.12315785735440848,0.024795518133756175,0.07972183725505738,0.057630805232626085,-0.0007812596059202925,0.05908365323039621,-0.062451399015491314,0.21409669621895316,-0.03284942092205127,-0.20080058111288132,1.0,0.1297523008956056,-0.16249114914349785,0.11286677207230311,0.11390149258599931,-0.15328829782124587,-0.15323427460749792,-0.13099738833447555,0.10582008071108698,0.1497824201565546,0.06715050769536379,-0.12019502269770947,0.11870474133622645,0.06458864209615311,-0.18439670817765846,-0.030473377287419914,-0.0015908420218214193,0.01054669397810772,0.05488273915830775,0.06788368361608023,0.00784968999099434
