feature,2018,2019,2020,2021,2022,2023,2024,2025,mean_coef,std_coef,cv_coef,sign_changes,top10_rate
role_RUCK,0.3169679303792803,0.32336164088538594,0.3119485663057586,0.2689618036023213,0.20365304595437397,0.11641903291170387,0.10384564064317622,0.04839262538306803,0.21169378575813352,0.10975519883294145,0.518462072185435,0,0.125
goals,0.25149608243335747,0.23217319624329363,0.23612304655487495,0.16942385478967045,0.17279180177168504,0.18395083944055698,0.17639267976606862,0.17836655998522036,0.20008975762309095,0.03370003107325559,0.1684245684216197,0,0.0
disposals,0.17207934505367817,0.20826123652826858,0.17439487665631892,0.18827072281464624,0.1867115716505942,0.18521494330501162,0.15710405696546065,0.1510391164791894,0.17788448368164594,0.018363982852920943,0.10323543949896363,0,0.0
disposals_over25,0.1549359207823758,0.15960037703351107,0.16778761753047347,0.16026426731678137,0.16699950234512934,0.17013122830432606,0.17495309885005994,0.17969405836623956,0.16679575881611208,0.008282068736955743,0.049653952808755196,0,0.0
n_teammates_disposals_ge_25,-0.16893459694487284,-0.16946131303542075,-0.15866367393964137,-0.16730589878561705,-0.16567023696454786,-0.16009826720354955,-0.15638210359189478,-0.15752490413902456,-0.16300512432557107,0.005393590524845628,0.033088472200867615,0,0.0
uncontested_possessions,0.16380503662146645,0.1381964844624508,0.15237511034327497,0.1540143564431552,0.16745984194287925,0.17045039100453066,0.17778145077025403,0.1775146481089758,0.1626996649621234,0.013697422808316267,0.08418838976407872,0,0.0
clearances_match_z,0.1473312491980066,0.12044562881060951,0.12960129398934164,0.15667487386119197,0.16860616982017854,0.17662811633281525,0.17349329807846248,0.16088367019292577,0.15420803753544146,0.020442319767374626,0.13256325736378294,0,0.0
one_percenters,0.1421377162898823,0.1434333850957557,0.14688056059358934,0.1484869795290445,0.14339856473522733,0.14323683192259468,0.143870188915939,0.14463508282499005,0.14450991373837785,0.0021214551115960423,0.014680343076231747,0,0.0
tackles_match_z,-0.11175241718684041,-0.12262361636342273,-0.14015876189894616,-0.1476829901513827,-0.14864009901520886,-0.1374949323386875,-0.15739713796847069,-0.15170280176165568,-0.13968159458557686,0.015485706698031163,0.110864332154683,0,0.0
marks_match_z,0.06634607131237281,0.0658854915266316,0.0896808633957042,0.11565563296316388,0.13633478202003999,0.1571257404839637,0.17055079588528527,0.18558913437998395,0.12339606399589317,0.0465302434344351,0.37708045076691993,0,0.0
n_teammates_goals_ge_3,-0.1114119696341939,-0.11103983073221482,-0.1156612382090553,-0.12689298635234453,-0.12649139938616738,-0.12289680679188336,-0.13402599449929922,-0.13817302002157575,-0.12332415570334178,0.010067584888870265,0.08163514139993791,0,0.0
