player_id,player_name,team_id
12950,Nasiah Wanganeen-Milera,st_kilda
12967,Marcus Windhager,st_kilda
13035,Anthony Caminiti,st_kilda
13036,Mattaes Phillipou,st_kilda
13110,Darcy Wilson,st_kilda
13125,Hugo Garcia,st_kilda
13193,Max Hall,st_kilda
13194,Liam OConnell,st_kilda
13206,Tobie Travaglia,st_kilda
11966,Max Gawn,melbourne
12009,Tom McDonald,melbourne
12351,Jake Lever,melbourne
12368,Jack Steele,melbourne
12393,Ed Langdon,melbourne
12598,Bayley Fritsch,melbourne
12653,Harry Petty,melbourne
12693,Tom Sparrow,melbourne
12756,Kade Chandler,melbourne
12771,Kysaiah Pickett,melbourne
12778,Trent Rivers,melbourne
12864,Harry Sharp,melbourne
12931,Jake Bowey,melbourne
13032,Bailey Laurie,melbourne
13048,Jacob van Rooyen,melbourne
13098,Blake Howes,melbourne
13123,Koltyn Tholstrup,melbourne
13182,Matthew Jefferson,melbourne
13184,Harvey Langford,melbourne
13286,Latrelle Pickett,melbourne
13064,George Wardlaw,north_melbourne
13130,Riley Hardeman,north_melbourne
13144,Wil Dawson,north_melbourne
13256,Zac Banch,north_melbourne
13287,Tom Blamires,north_melbourne
11948,Tom Lynch,richmond
12174,Nick Vlastuin,richmond
12374,Toby Nankervis,richmond
12418,Jayden Short,richmond
12504,Tim Taranto,richmond
12902,Hugo Ralphsmith,richmond
12918,Samson Ryan,richmond
12935,Maurice Rioli,richmond
12941,Ben Miller,richmond
12997,Judson Clarke,richmond
13078,Sam Banks,richmond
13096,Tom Brown,richmond
13100,Seth Campbell,richmond
13113,Mykelti Lefau,richmond
13117,Kane McAuliffe,richmond
13145,Steely Green,richmond
13191,Luke Trainor,richmond
13218,Campbell Gray,richmond
13253,Taj Hotton,richmond
13290,Sam Grlj,richmond
13313,Patrick Retschko,richmond
13338,Kye Annand,richmond
12300,Tim Membrey,collingwood
12536,Harry Perryman,collingwood
12629,Isaac Cumming,adelaide
12872,Nick Murray,adelaide
12892,Riley Thilthorpe,adelaide
12921,Luke Pedlar,adelaide
13146,Edward Allan,collingwood
13165,Hugh Bond,adelaide
12537,Tim English,western_bulldogs
12691,Chayce Jones,adelaide
12769,Connor Budarick,western_bulldogs
12798,Izak Rankine,adelaide
12141,Jaeger OMeara,fremantle
12473,Reilly OBrien,adelaide
12175,Zac Williams,carlton
12559,Lewis Young,carlton
12727,Mitch Hinge,adelaide
12965,Jordan Boyd,carlton
