feature,n_obs,spearman_corr_votes,point_biserial_polled_any,mutual_info_votes,mean_when_0,mean_when_1,mean_when_2,mean_when_3
contested_marks,193346,0.0727,0.1074,0.0042,0.455,0.765,0.802,0.882
contested_marks_opp_best_gap,193346,0.0726,0.0882,0.0036,-2.355,-1.917,-1.871,-1.764
contested_marks_team_share,193324,0.0677,0.0824,0.0025,0.043,0.066,0.069,0.074
tackles_inside_50,91813,0.0662,0.0583,0.0008,0.47,0.656,0.648,0.692
n_teammates_goals_ge_2,193346,0.0656,0.0643,0.0023,2.848,3.173,3.236,3.3
contested_marks_match_pct,193346,0.0627,0.0728,0.0034,0.507,0.57,0.572,0.583
contested_marks_match_rank,193346,-0.0618,-0.0726,0.0033,22.947,20.126,20.036,19.573
adv_time_on_ground_pct,133707,0.0611,0.0677,0.0053,81.663,84.657,84.982,84.829
contested_marks_match_z,193346,0.0604,0.1006,0.0034,-0.027,0.321,0.356,0.432
adv_contested_marks,133707,0.0573,0.0899,0.0032,0.472,0.737,0.756,0.835
rebound_50s,193346,0.0485,0.0476,0.0011,1.579,1.985,1.923,1.898
n_teammates_goals_ge_3,193346,0.048,0.0467,0.0009,1.138,1.291,1.33,1.363
intercepts,91813,0.047,0.0461,0.0015,3.06,3.643,3.457,3.505
contested_marks_team_rank,193346,-0.0462,-0.0649,0.0031,11.712,10.453,10.432,10.216
contested_marks_gap_2nd_team,193346,0.0427,0.069,0.003,-1.401,-1.132,-1.109,-1.023
adv_one_percenters,133707,-0.0427,-0.0501,0.0019,2.188,1.831,1.693,1.664
contested_marks_gap_best_team,193346,0.0404,0.0561,0.002,-2.302,-2.052,-1.987,-1.904
frees_against,193346,0.0323,0.0343,0.0005,0.811,0.921,0.94,0.968
one_percenters,193346,-0.0298,-0.0388,0.0012,2.112,1.856,1.733,1.715
team_disposal_concentration,193346,-0.0208,-0.0207,0.0002,0.054,0.053,0.053,0.053
n_teammates_disposals_ge_30,193346,-0.0184,-0.0166,0.0001,0.953,0.939,0.901,0.809
disposal_efficiency_pct,133707,-0.0175,-0.0062,0.0039,72.302,72.125,72.144,71.594
hitouts,193346,0.0088,0.0082,0.0001,1.63,1.877,1.896,1.712
n_teammates_disposals_ge_25,193346,-0.0082,-0.0066,0.0001,2.72,2.704,2.678,2.642
territory_index_n_components,193346,0.0068,0.0068,0.0,2.474,2.487,2.488,2.486
clearance_index_n_components,193346,0.0068,0.0068,0.0,1.474,1.488,1.489,1.487
absolute_margin,193346,0.0003,0.0003,0.0,34.072,34.103,34.103,34.103
is_blowout,193346,0.0002,0.0002,0.0,0.247,0.247,0.247,0.247
is_close_game,193346,-0.0002,-0.0002,0.0,0.243,0.242,0.242,0.242
is_draw,193346,-0.0,-0.0,0.0,0.009,0.009,0.009,0.009
possession_impact_index_n_components,193346,,,0.0,3.0,3.0,3.0,3.0
contest_index_n_components,193346,,,0.0,3.0,3.0,3.0,3.0
scoring_index_n_components,193346,,,0.0,3.0,3.0,3.0,3.0
defensive_index_n_components,193346,,,0.0,3.0,3.0,3.0,3.0
