season,feature,source,pct_available
1991,effective_disposals,footywire_advanced,0.0
1991,disposal_efficiency_pct,footywire_advanced,0.0
1991,centre_clearances,footywire_advanced,0.0
1991,stoppage_clearances,footywire_advanced,0.0
1991,score_involvements,footywire_advanced,0.0
1991,metres_gained,footywire_advanced,0.0
1991,turnovers,footywire_advanced,0.0
1991,intercepts,footywire_advanced,0.0
1991,tackles_inside_50,footywire_advanced,0.0
1992,kicks,afltables_core,1.0
1992,marks,afltables_core,1.0
1992,handballs,afltables_core,1.0
1992,disposals,afltables_core,1.0
1992,goals,afltables_core,1.0
1992,behinds,afltables_core,1.0
1992,hitouts,afltables_core,1.0
1992,tackles,afltables_core,1.0
1992,rebound_50s,afltables_core,0.0
1992,inside_50s,afltables_core,0.0
1992,clearances,afltables_core,0.0
1992,clangers,afltables_core,0.0
1992,frees_for,afltables_core,1.0
1992,frees_against,afltables_core,1.0
1992,contested_possessions,afltables_core,0.0
1992,uncontested_possessions,afltables_core,0.0
1992,contested_marks,afltables_core,0.0
1992,marks_inside_50,afltables_core,0.0
1992,one_percenters,afltables_core,0.0
1992,bounces,afltables_core,0.0
1992,goal_assists,afltables_core,0.0
1992,time_on_ground_pct,afltables_core,0.0
1992,effective_disposals,footywire_advanced,0.0
1992,disposal_efficiency_pct,footywire_advanced,0.0
1992,centre_clearances,footywire_advanced,0.0
1992,stoppage_clearances,footywire_advanced,0.0
1992,score_involvements,footywire_advanced,0.0
1992,metres_gained,footywire_advanced,0.0
1992,turnovers,footywire_advanced,0.0
1992,intercepts,footywire_advanced,0.0
1992,tackles_inside_50,footywire_advanced,0.0
1993,kicks,afltables_core,1.0
1993,marks,afltables_core,1.0
1993,handballs,afltables_core,1.0
1993,disposals,afltables_core,1.0
1993,goals,afltables_core,1.0
1993,behinds,afltables_core,1.0
1993,hitouts,afltables_core,1.0
1993,tackles,afltables_core,1.0
1993,rebound_50s,afltables_core,0.0
1993,inside_50s,afltables_core,0.0
1993,clearances,afltables_core,0.0
1993,clangers,afltables_core,0.0
1993,frees_for,afltables_core,1.0
1993,frees_against,afltables_core,1.0
1993,contested_possessions,afltables_core,0.0
1993,uncontested_possessions,afltables_core,0.0
1993,contested_marks,afltables_core,0.0
1993,marks_inside_50,afltables_core,0.0
1993,one_percenters,afltables_core,0.0
1993,bounces,afltables_core,0.0
1993,goal_assists,afltables_core,0.0
1993,time_on_ground_pct,afltables_core,0.0
1993,effective_disposals,footywire_advanced,0.0
1993,disposal_efficiency_pct,footywire_advanced,0.0
1993,centre_clearances,footywire_advanced,0.0
1993,stoppage_clearances,footywire_advanced,0.0
1993,score_involvements,footywire_advanced,0.0
1993,metres_gained,footywire_advanced,0.0
1993,turnovers,footywire_advanced,0.0
1993,intercepts,footywire_advanced,0.0
1993,tackles_inside_50,footywire_advanced,0.0
1994,kicks,afltables_core,1.0
1994,marks,afltables_core,1.0
1994,handballs,afltables_core,1.0
1994,disposals,afltables_core,1.0
1994,goals,afltables_core,1.0
1994,behinds,afltables_core,1.0
1994,hitouts,afltables_core,1.0
1994,tackles,afltables_core,1.0
1994,rebound_50s,afltables_core,0.0
1994,inside_50s,afltables_core,0.0
1994,clearances,afltables_core,0.0
1994,clangers,afltables_core,0.0
1994,frees_for,afltables_core,1.0
1994,frees_against,afltables_core,1.0
1994,contested_possessions,afltables_core,0.0
1994,uncontested_possessions,afltables_core,0.0
1994,contested_marks,afltables_core,0.0
1994,marks_inside_50,afltables_core,0.0
1994,one_percenters,afltables_core,0.0
1994,bounces,afltables_core,0.0
1994,goal_assists,afltables_core,0.0
1994,time_on_ground_pct,afltables_core,0.0
1994,effective_disposals,footywire_advanced,0.0
1994,disposal_efficiency_pct,footywire_advanced,0.0
1994,centre_clearances,footywire_advanced,0.0
1994,stoppage_clearances,footywire_advanced,0.0
1994,score_involvements,footywire_advanced,0.0
1994,metres_gained,footywire_advanced,0.0
1994,turnovers,footywire_advanced,0.0
1994,intercepts,footywire_advanced,0.0
1994,tackles_inside_50,footywire_advanced,0.0
1995,kicks,afltables_core,1.0
1995,marks,afltables_core,1.0
1995,handballs,afltables_core,1.0
1995,disposals,afltables_core,1.0
1995,goals,afltables_core,1.0
1995,behinds,afltables_core,1.0
1995,hitouts,afltables_core,1.0
1995,tackles,afltables_core,1.0
1995,rebound_50s,afltables_core,0.0
1995,inside_50s,afltables_core,0.0
1995,clearances,afltables_core,0.0
1995,clangers,afltables_core,0.0
1995,frees_for,afltables_core,1.0
1995,frees_against,afltables_core,1.0
