player_id,player_name,team_id,sim_mean_votes,sim_median_votes,sim_mode_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,mean_rank,median_rank,prob_rank_1,prob_top3_rank,prob_top10_rank
12584,Darcy Fogarty,adelaide,3.43341,3.0,3,1.0,6.0,0.0,7.0,0.00074,0.0,0.0,0.0,0.0,0.0,120.17436,101.0,0.0,0.0,0.0
12794,Will Day,hawthorn,3.25745,3.0,3,1.0,6.0,0.0,8.0,0.00337,2e-05,0.0,0.0,0.0,0.0,129.99287,106.0,0.0,0.0,0.0
12406,Darcy Parish,essendon,3.25735,3.0,3,1.0,6.0,0.0,7.0,0.00146,0.0,0.0,0.0,0.0,0.0,120.52018,109.0,0.0,0.0,0.0
12756,Kade Chandler,melbourne,3.12356,3.0,3,1.0,6.0,0.0,7.0,0.00204,0.0,0.0,0.0,0.0,0.0,144.96045,116.0,0.0,0.0,0.0
12332,James Sicily,hawthorn,3.11163,3.0,3,0.0,6.0,0.0,8.0,0.00488,1e-05,0.0,0.0,0.0,0.0,127.97173,114.0,0.0,0.0,0.0
12636,Mitch Lewis,hawthorn,3.10673,3.0,3,1.0,6.0,0.0,7.0,0.0031,2e-05,0.0,0.0,0.0,0.0,128.05301,113.0,0.0,0.0,0.0
12325,Jack Sinclair,st_kilda,3.10193,3.0,3,0.0,6.0,0.0,8.0,0.00869,9e-05,0.0,0.0,0.0,0.0,164.22427,118.0,0.0,0.0,0.0
12934,James Peatling,adelaide,3.07837,3.0,3,0.0,6.0,0.0,8.0,0.00724,2e-05,0.0,0.0,0.0,0.0,149.90382,115.0,0.0,0.0,0.0
12796,Dylan Stephens,north_melbourne,3.02354,3.0,3,1.0,6.0,0.0,7.0,0.00121,0.0,0.0,0.0,0.0,0.0,148.81889,124.0,0.0,0.0,0.0
12076,Dayne Zorko,brisbane_lions,2.96073,3.0,2,0.0,6.0,0.0,7.0,0.00372,0.0,0.0,0.0,0.0,0.0,130.99539,119.0,0.0,0.0,0.0
12595,Tim Kelly,west_coast,2.87552,3.0,3,0.0,6.0,0.0,8.0,0.00572,1e-05,0.0,0.0,0.0,0.0,166.11189,124.0,0.0,0.0,0.0
12601,Jake Waterman,west_coast,2.85943,3.0,3,0.0,6.0,0.0,7.0,0.00252,0.0,0.0,0.0,0.0,0.0,159.62416,122.0,0.0,0.0,0.0
12844,Joel Amartey,sydney,2.83281,3.0,3,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,118.31371,111.0,0.0,0.0,0.0
12686,Noah Balta,richmond,2.8326,3.0,3,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,124.20366,116.0,0.0,0.0,0.0
12688,Jordan Clark,fremantle,2.83082,3.0,2,0.0,6.0,0.0,8.0,0.00471,1e-05,0.0,0.0,0.0,0.0,147.32387,128.0,0.0,0.0,0.0
13184,Harvey Langford,melbourne,2.80947,3.0,3,1.0,5.0,0.0,6.0,0.00034,0.0,0.0,0.0,0.0,0.0,150.45028,120.0,0.0,0.0,0.0
11700,Patrick Dangerfield,geelong,2.74899,3.0,3,0.0,5.0,0.0,6.0,0.00042,0.0,0.0,0.0,0.0,0.0,146.41262,122.0,0.0,0.0,0.0
12703,Callum Wilkie,st_kilda,2.7171,3.0,3,0.0,6.0,0.0,7.0,0.00377,2e-05,0.0,0.0,0.0,0.0,186.26902,129.0,0.0,0.0,0.0
12710,Dylan Moore,hawthorn,2.63567,2.0,2,0.0,6.0,0.0,7.0,0.00455,5e-05,0.0,0.0,0.0,0.0,146.32478,132.0,0.0,0.0,0.0
12563,Nick Larkey,north_melbourne,2.60252,2.0,2,0.0,5.0,0.0,7.0,0.00255,0.0,0.0,0.0,0.0,0.0,181.05431,136.0,0.0,0.0,0.0
13140,Joel Freijah,western_bulldogs,2.50691,2.0,3,0.0,5.0,0.0,6.0,0.00091,0.0,0.0,0.0,0.0,0.0,178.0907,135.0,0.0,0.0,0.0
13103,Ryley Sanders,western_bulldogs,2.50247,2.0,1,0.0,5.0,0.0,7.0,0.0022,1e-05,0.0,0.0,0.0,0.0,180.66344,143.0,0.0,0.0,0.0
12566,Harry McKay,carlton,2.48356,2.0,0,0.0,5.0,0.0,7.0,0.00249,1e-05,0.0,0.0,0.0,0.0,181.60233,136.0,0.0,0.0,0.0
12519,Jarrod Berry,brisbane_lions,2.43418,3.0,3,1.0,4.0,0.0,5.0,6e-05,0.0,0.0,0.0,0.0,0.0,155.31923,128.0,0.0,0.0,0.0
12925,Sam Durham,essendon,2.4272,2.0,3,0.0,5.0,0.0,6.0,0.00035,0.0,0.0,0.0,0.0,0.0,145.66962,133.0,0.0,0.0,0.0
12600,Liam Ryan,st_kilda,2.37224,2.0,3,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,158.71627,133.0,0.0,0.0,0.0
