player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect
12684,Sam Walsh,carlton,11.618867215053626,12.344825568680879,12.1373055554816,12.076280295517964,11.893315063332228,11.687479177123276,11.778961793216144,11.882649461301739,0.45741308046433815,0.5184383404279735,0.7259583536272523
13111,Harley Reid,west_coast,11.33631546541644,10.690610077866074,12.038084309028925,11.501925879522084,11.435682734240526,11.36115919579877,11.39428076843955,11.534634794982537,0.16561041410564314,0.7017688436124843,-0.6457053875503664
12430,Christian Petracca,gold_coast,11.276392066409791,10.679335837999433,12.198140170875664,11.125323158604015,11.185750721726325,11.253731730238922,11.223517948677769,11.407867569570943,0.15106890780577586,1.0728170122716492,-0.5970562284103575
13048,Jacob van Rooyen,melbourne,11.403620941927006,11.314178671970962,11.56475901683758,11.316547601025253,11.351376937385954,11.39055994079174,11.373145272611389,11.405372887593506,0.08707334090175323,0.24821141581232808,-0.08944226995604332
12610,Zac Bailey,brisbane_lions,11.323794641279115,10.258762985954496,11.592542121435429,10.970758235750218,11.11197279796178,11.27083918044978,11.200231899344002,11.253981395375265,0.35303640552889703,0.6217838856852111,-1.0650316553246189
12589,Andrew Brayshaw,fremantle,10.92652720859797,11.965634832208474,10.818467790208627,11.861796496230244,11.487688781177336,11.066817601742809,11.253871459269265,11.232259575591398,0.9352692876322752,1.043328706021617,1.039107623610505
12421,Charlie Curnow,sydney,10.47757696892297,10.000377194404818,10.936158234018016,9.92663000924345,10.177292673840537,10.459288171512254,10.333956839213712,10.427444671896957,0.5509469596795196,1.0095282247745665,-0.47719977451815154
13193,Max Hall,st_kilda,10.235485029890082,9.49592181460749,10.222087899558593,10.490449284149907,10.388463582446189,10.273729668029203,10.324722518881197,10.322043092814903,0.25496425425982494,0.268361384591314,-0.7395632152825922
12411,George Hewett,carlton,10.291629224470983,11.14238451375644,10.4715032480298,9.824261087664418,10.011208342387043,10.22152400395,10.128050376588686,10.164025181300449,0.46736813680656475,0.6472421603653817,0.8507552892854573
12025,Toby Greene,greater_western_sydney,10.10795514988766,10.97983233633507,10.784430803219992,9.271382275836347,9.60669439339264,9.983920525643487,9.816264466865334,9.951610268952388,0.8365728740513134,1.5130485273836456,0.87187718644741
12693,Tom Sparrow,melbourne,9.545877495995672,8.834477987900053,10.041779623913154,9.821372674480484,9.711174603086572,9.587201772768404,9.642300808465368,9.741481234048862,0.2754951784848121,0.495902127917482,-0.711399508095619
12969,Finn Callaghan,greater_western_sydney,9.337855606633191,10.959268037676061,9.125024470668963,10.156838765831832,9.830011859900846,9.462331590728486,9.625745043693978,9.583308731615295,0.8189831591986412,1.031814295162869,1.6214124310428701
13104,Shaun Mannagh,geelong,9.504308590253906,9.419781544470517,9.54757748812966,9.325333780337141,9.39692370430385,9.47746236876639,9.44166740678304,9.450321186358194,0.17897480991676495,0.22224370779251856,-0.0845270457833891
12983,Jye Amiss,fremantle,9.499782855776472,9.273822542844535,9.53910160408323,9.162548191461337,9.297442057187391,9.4491976561292,9.381750723266174,9.389614472927525,0.33723466431513494,0.37655341262189346,-0.22596031293193697
12241,Zach Merrett,essendon,9.391868918738362,9.356243337715691,8.844914783850104,9.23034787345835,9.294956291570355,9.36764076194636,9.335336552890357,9.225945725912705,0.1615210452800131,0.5469541348882583,-0.03562558102267133
12887,Josh Treacy,fremantle,9.239414228924167,8.605868070025862,9.272540405021203,8.514929967480587,8.804723672058019,9.130741589707629,8.985844737418914,8.99246997263832,0.72448426144358,0.7576104375406167,-0.6335461588983051
12768,Matt Rowell,gold_coast,8.809136463220314,10.446716373090231,9.064310355516914,8.129308452546036,8.422429547015012,8.752190778292611,8.605630231058122,8.660307872094174,0.679828010674278,0.9350019029708783,1.6375799098699169
12331,Touk Miller,gold_coast,8.622602747177943,8.162890907550214,8.480096301713427,8.242640398071789,8.39587149760659,8.568256484583314,8.491640934815882,8.463389205562827,0.37996234910615456,0.37996234910615456,-0.45971183962772955
12782,Lachie Ash,greater_western_sydney,8.037964528845269,8.442825684079274,7.512031756233384,8.600102537870812,8.376134130113694,8.12416967138694,8.236153875265497,8.130964419381165,0.5621380090255439,1.0880707816374287,0.40486115523400557
