rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
125,13184,Harvey Langford,melbourne,1.7513855831211678,0,1,0,23
126,13187,Finn OSullivan,north_melbourne,1.7348942296088063,0,1,0,19
127,12412,Tom Papley,sydney,1.717099338549343,0,0,1,18
128,12374,Toby Nankervis,richmond,1.7105514454548842,0,0,1,12
129,12695,Willem Drew,port_adelaide,1.6438216847456608,0,0,0,22
130,12743,John Noble,gold_coast,1.6365639615785743,0,0,1,23
131,13101,Harvey Thomas,greater_western_sydney,1.6308545469257154,0,0,1,22
132,12143,Lachie Whitfield,greater_western_sydney,1.5956927625276152,0,0,0,21
133,13197,Levi Ashcroft,brisbane_lions,1.5480342437542725,0,0,0,23
134,12929,Cooper Sharman,st_kilda,1.53503860298993,0,0,1,21
135,12674,Tom De Koning,st_kilda,1.4984104629168928,0,0,0,20
136,12354,Bailey Dale,western_bulldogs,1.4887200523721373,0,0,0,18
137,12910,Callum Brown,greater_western_sydney,1.4814366065017943,0,1,0,18
138,12373,Caleb Daniel,north_melbourne,1.4774454914051653,0,0,0,23
139,12519,Jarrod Berry,brisbane_lions,1.464975821373882,0,1,0,18
140,12975,Paul Curtis,north_melbourne,1.463685690655838,0,1,0,20
141,12756,Kade Chandler,melbourne,1.4558590902928634,0,0,0,22
142,12017,Jeremy Cameron,geelong,1.4480461959102429,0,1,0,17
143,12619,James Worpel,geelong,1.4465893740662163,0,0,0,11
144,13240,Tom McCarthy,west_coast,1.444296466706315,0,0,1,22
145,13263,Cooper Trembath,north_melbourne,1.4161604630753046,0,0,0,23
146,12601,Jake Waterman,west_coast,1.403208121975405,0,0,1,23
147,12967,Marcus Windhager,st_kilda,1.3982791397130632,0,0,1,23
148,12948,Mitch Owens,st_kilda,1.3938007601082025,0,0,1,20
149,12028,Stephen Coniglio,greater_western_sydney,1.3936253754500059,0,0,0,21
150,12076,Dayne Zorko,brisbane_lions,1.36747599852773,0,0,0,13
151,11845,Jack Gunston,hawthorn,1.3606650513224632,0,0,0,17
152,12498,Ben Ainsworth,carlton,1.3403680747828581,0,0,1,23
153,13050,Ned Moyle,gold_coast,1.339073525032349,0,0,1,16
154,13065,Lachlan McAndrew,adelaide,1.2955928446976308,0,0,0,22
155,13110,Darcy Wilson,st_kilda,1.2418027075294962,0,0,0,22
156,12177,Jarrod Witts,gold_coast,1.2403431201929667,0,0,2,13
157,13026,Darcy Wilmot,brisbane_lions,1.2388547798347842,0,0,1,23
158,12891,Sam De Koning,geelong,1.2114402953164483,0,0,1,19
159,13168,Archie Roberts,essendon,1.2102256187668896,0,0,0,21
160,12796,Dylan Stephens,north_melbourne,1.1890650698419631,0,0,0,23
161,11905,Jack Darling,north_melbourne,1.1663700720608314,0,0,0,22
162,12598,Bayley Fritsch,melbourne,1.1644779823218445,0,0,1,21
163,12844,Joel Amartey,sydney,1.1636909092748846,0,0,1,15
164,12300,Tim Membrey,collingwood,1.1154063093946058,0,0,1,19
165,12871,Tanner Bruhn,geelong,1.0944957391525563,0,0,1,21
166,11713,Taylor Walker,adelaide,1.0857080484202073,0,0,0,16
167,13100,Seth Campbell,richmond,1.0798501889049492,0,0,0,23
