season,match_id,player_id,brownlow_votes,p3,p2,p1,p0,expected_votes,model,role,win_loss_draw,absolute_margin,disposals,goals,match_rank_of_p3
2020,2020_R7_greater_western_sydney_v_brisbane_lions_2020-07-18,12340,3,0.06878884505254995,0.07052584784158118,0.07220216504344618,0.7884831420624225,0.4196203958842584,Model1_PlackettLuce,KEY_DEFENDER,win,20,14,0,6.0
2017,2017_R4_greater_western_sydney_v_port_adelaide_2017-04-15,12025,3,0.04841743716280054,0.05511267593892252,0.06369183412297315,0.8327780527753037,0.3191694974892198,Model1_PlackettLuce,MEDIUM_FORWARD,win,31,16,4,6.0
2017,2017_R16_adelaide_v_western_bulldogs_2017-07-07,11713,3,0.048451592454562376,0.05866417921303479,0.07108399200356422,0.8218002363288387,0.33376712779332096,Model1_PlackettLuce,MEDIUM_FORWARD,win,59,18,3,6.0
2017,2017_R23_west_coast_v_adelaide_2017-08-27,11805,3,0.06334434888133106,0.08003698662797597,0.09934120413611418,0.7572774603545789,0.4494482240360593,Model1_PlackettLuce,MIDFIELDER,win,29,28,1,6.0
2018,2018_R3_sydney_v_greater_western_sydney_2018-04-07,12413,3,0.02882129249324611,0.055367212662752505,0.07043037786505105,0.8453811169789505,0.2676286806702944,Model1_PlackettLuce,UNKNOWN,win,16,26,0,6.0
2017,2017_R20_adelaide_v_port_adelaide_2017-08-06,11708,3,0.034371655132951685,0.04864455322379284,0.0680764846011171,0.8489073070421385,0.26848055644755786,Model1_PlackettLuce,RUCK,win,84,12,2,6.0
2017,2017_R13_western_bulldogs_v_melbourne_2017-06-18,11938,3,0.040686702899157455,0.044923687467418406,0.049748123469170735,0.8646414861642535,0.2616556071014799,Model1_PlackettLuce,MIDFIELDER,win,57,27,0,6.0
2019,2019_R16_western_bulldogs_v_geelong_2019-07-06,12594,3,0.05513450686993493,0.0650521273468815,0.07863421715216855,0.801179148631015,0.3741419924557363,Model1_PlackettLuce,KEY_FORWARD,win,16,14,4,6.0
2019,2019_R2_gold_coast_v_fremantle_2019-03-31,12236,3,0.05698893722379908,0.06563120731371735,0.0761940636623466,0.801185791800137,0.3784232899611786,Model1_PlackettLuce,UNKNOWN,win,3,24,1,6.0
2020,2020_R15_hawthorn_v_adelaide_2020-09-01,11792,3,0.0166329538086314,0.023543674032672275,0.0391439067749268,0.9206794653837694,0.13613011626616556,Model1_PlackettLuce,MIDFIELDER,win,35,18,0,6.0
2020,2020_R4_st_kilda_v_richmond_2020-06-27,12490,3,0.054594466944221945,0.05870097992454772,0.06289192930028309,0.8238126238309472,0.3440772899820444,Model1_PlackettLuce,MEDIUM_FORWARD,win,26,13,3,6.0
2019,2019_R10_adelaide_v_west_coast_2019-05-25,12087,3,0.06328713515001985,0.07163516230582959,0.0823940402563866,0.782683662287764,0.4155257703181053,Model1_PlackettLuce,MIDFIELDER,win,12,27,0,6.0
2020,2020_R8_sydney_v_hawthorn_2020-07-25,12412,3,0.07429391965600932,0.08747830907066194,0.0988045479589157,0.7394232233144131,0.4966429250682675,Model1_PlackettLuce,MEDIUM_FORWARD,win,7,11,4,5.0
2020,2020_R5_greater_western_sydney_v_hawthorn_2020-07-05,12091,3,0.08189781023295388,0.08697471664457558,0.09180884538010799,0.7393186277423626,0.5114517093681208,Model1_PlackettLuce,MEDIUM_DEFENDER,win,34,21,0,5.0
2018,2018_R15_carlton_v_port_adelaide_2018-06-30,1456,3,0.09812217584030233,0.10168717402441445,0.10421660690324133,0.6959740432320419,0.6019574824729772,Model1_PlackettLuce,MEDIUM_DEFENDER,loss,21,37,0,5.0
2018,2018_R8_fremantle_v_st_kilda_2018-05-12,1421,3,0.009185430340479696,0.04629419677156814,0.07707216961854962,0.8674482032694026,0.19721685418312498,Model1_PlackettLuce,RUCK,win,30,13,1,5.0
2018,2018_R9_adelaide_v_western_bulldogs_2018-05-18,11535,3,0.06632248849811172,0.11581968035563656,0.135860607543724,0.6819972236025277,0.5664674337493323,Model1_PlackettLuce,MIDFIELDER,win,37,26,0,5.0
2018,2018_R10_geelong_v_carlton_2018-05-26,12464,3,0.030309130221787682,0.07222822818946034,0.09609729255285218,0.8013653490358997,0.3314811395971359,Model1_PlackettLuce,MIDFIELDER,win,28,23,2,5.0
2018,2018_R18_port_adelaide_v_greater_western_sydney_2018-07-22,12143,3,0.08166720954810083,0.08782268547500838,0.09474307231660853,0.7357670326602823,0.5153900719109278,Model1_PlackettLuce,MIDFIELDER,win,22,31,0,5.0
2018,2018_R21_essendon_v_st_kilda_2018-08-10,12407,3,0.11891735666378664,0.1311623828109651,0.14480414544838208,0.6051161150768661,0.7638809810616721,Model1_PlackettLuce,MEDIUM_FORWARD,win,43,15,5,5.0
2018,2018_R12_st_kilda_v_sydney_2018-06-09,4065,3,0.08783405033085902,0.11678161143332302,0.13772739209992998,0.657656946135888,0.6347927659591531,Model1_PlackettLuce,KEY_FORWARD,win,71,18,4,5.0
2018,2018_R11_adelaide_v_greater_western_sydney_2018-06-03,12022,3,0.07854543096547639,0.08874653055575768,0.09633665759661221,0.7363713808821537,0.5094660116045567,Model1_PlackettLuce,MIDFIELDER,win,16,29,1,5.0
2019,2019_R2_essendon_v_st_kilda_2019-03-30,12249,3,0.06409451523806654,0.07415746864520345,0.08051472089814717,0.7812332952185829,0.4211132039027537,Model1_PlackettLuce,UNKNOWN,win,11,28,0,5.0
2016,2016_R17_brisbane_lions_v_greater_western_sydney_2016-07-17,12255,3,0.022285434453453483,0.07386051211182242,0.10217335748205952,0.8016806959526646,0.3167506850660648,Model1_PlackettLuce,MIDFIELDER,win,79,26,3,5.0
2016,2016_R4_collingwood_v_melbourne_2016-04-17,11765,3,0.03895995423686901,0.08349402895032917,0.10011517105731728,0.7774308457554845,0.38398309166858263,Model1_PlackettLuce,MIDFIELDER,win,35,17,4,5.0
2015,2015_R6_melbourne_v_sydney_2015-05-09,12196,3,0.021496562711171358,0.0823126559726098,0.10572926096321329,0.7904615203530054,0.334844261041947,Model1_PlackettLuce,UNKNOWN,win,38,28,0,5.0
2016,2016_R4_essendon_v_geelong_2016-04-16,12241,3,0.09947436155555628,0.1017344086627783,0.1038069248696466,0.6949843049120189,0.605698826861872,Model1_PlackettLuce,MIDFIELDER,loss,30,29,1,5.0
2017,2017_R16_carlton_v_melbourne_2017-07-09,1456,3,0.07240033516712274,0.07728709712351794,0.08262267983471425,0.767689887874645,0.4543978795831184,Model1_PlackettLuce,MIDFIELDER,loss,8,35,0,5.0
2016,2016_R19_north_melbourne_v_st_kilda_2016-07-30,806,3,0.05479975881514137,0.07813864030057771,0.0902040121315309,0.77685758875275,0.4108805691781104,Model1_PlackettLuce,KEY_FORWARD,win,23,18,2,5.0
2017,2017_R21_hawthorn_v_north_melbourne_2017-08-13,11845,3,0.06310230323422587,0.07643549415730294,0.08766923523848633,0.7727929673699848,0.42984713325576984,Model1_PlackettLuce,MIDFIELDER,win,27,27,1,5.0
2021,2021_R3_collingwood_v_brisbane_lions_2021-04-01,4182,3,0.02948195743941495,0.048540140437514576,0.06917411979860445,0.8528037823244661,0.2547002729918784,Model1_PlackettLuce,MIDFIELDER,loss,1,30,0,5.0
2021,2021_R5_west_coast_v_collingwood_2021-04-16,12655,3,0.09843271918766115,0.1087797699725184,0.11787121472696326,0.6749162961128572,0.6307289122349835,Model1_PlackettLuce,KEY_FORWARD,win,27,13,5,5.0
2021,2021_R6_geelong_v_west_coast_2021-04-24,11637,3,0.023433386096602376,0.042978005209485755,0.07770503304208258,0.8558835756518293,0.23396120175086121,Model1_PlackettLuce,KEY_DEFENDER,win,97,19,2,5.0
2025,2025_R25_collingwood_v_melbourne_2025-08-22,11966,3,0.07638393351119013,0.07811161511986048,0.07956365003776686,0.7659408013311825,0.46493868081105827,Model1_PlackettLuce,RUCK,loss,6,23,0,5.0
2025,2025_R25_greater_western_sydney_v_st_kilda_2025-08-24,12025,3,0.061435440126080786,0.07944962472957719,0.10960234232967508,0.7495125928146669,0.4528079121670718,Model1_PlackettLuce,MEDIUM_FORWARD,win,11,17,4,5.0
2024,2024_R25_carlton_v_st_kilda_2024-08-25,12261,3,0.07928007295055413,0.08639820969568913,0.09418709113890868,0.740134626214848,0.5048237293819493,Model1_PlackettLuce,MIDFIELDER,loss,2,30,0,5.0
2025,2025_R20_hawthorn_v_port_adelaide_2025-07-19,12955,3,0.03831973651781756,0.05819632368650933,0.08520424325745596,0.8182796965382171,0.3165561001839273,Model1_PlackettLuce,MIDFIELDER,win,38,26,0,5.0
