match_id,season,round,player_name,team_id,p3,p2,p1,p0,expected_votes,most_likely,key_drivers
2026_R0_gold_coast_v_geelong_2026-03-06,2026,0,Christian Petracca,gold_coast,0.8879822176390116,0.1015884351343171,0.00964579786461803,0.0007835493620532274,2.8767693210502867,3,winning team; disposals=34 (match z=2.2); contested possessions=15 (match z=2.5); clearances=6 (match z=1.9); goals=3 (match z=2.0); inside 50s=10 (match z=3.0); contested marks=1 (match z=1.6).
2026_R0_sydney_v_carlton_2026-03-05,2026,0,Justin McInerney,sydney,0.846008310560041,0.13431758111735226,0.017626184235530046,0.002047924087076696,2.8242862781503573,3,winning team; disposals=31 (match z=2.3); goals=3 (match z=2.5).
2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,2026,0,Jake Stringer,greater_western_sydney,0.7500890061375047,0.19904264784957826,0.04225424147732996,0.008614104535587051,2.690606555589001,3,winning team; goals=5 (match z=3.6). Uncertainty: teammate Lachie Whitfield also had a big disposal count.
2026_R0_st_kilda_v_collingwood_2026-03-08,2026,0,Nick Daicos,collingwood,0.716319105654027,0.21568495750587238,0.05374173504559607,0.01425420179450454,2.6340689670194215,3,winning team; disposals=41 (match z=2.7); clearances=4 (match z=1.9); inside 50s=5 (match z=1.6).
2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,2026,0,Ed Richards,western_bulldogs,0.6818887618653424,0.2325816620056737,0.06584888741332295,0.01968068871566092,2.5766784970206977,3,winning team; disposals=30 (match z=1.6); clearances=7 (match z=2.4); inside 50s=10 (match z=3.5); marks=8 (match z=1.6).
2026_R1_sydney_v_brisbane_lions_2026-03-14,2026,1,Joel Amartey,sydney,0.7785798065723613,0.17575882439276092,0.03695474047313216,0.008706628561745672,2.7242118089757374,3,winning team; goals=5 (match z=4.7); contested marks=3 (match z=3.6); marks=8 (match z=1.6). Uncertainty: teammate Riley Bice also had a big disposal count.
2026_R1_gold_coast_v_west_coast_2026-03-15,2026,1,Christian Petracca,gold_coast,0.6747664950349945,0.25830231272532733,0.05765864996810052,0.009272542271577616,2.5985627605237394,3,winning team; contested possessions=12 (match z=1.7); clearances=6 (match z=2.4); goals=4 (match z=3.0); inside 50s=8 (match z=3.2). Uncertainty: teammate Noah Anderson also had a big disposal count.
2026_R1_melbourne_v_st_kilda_2026-03-15,2026,1,Jacob van Rooyen,melbourne,0.6606157149484666,0.25617543909701235,0.07168447332753347,0.011524372626987578,2.565882496366958,3,winning team; goals=6 (match z=4.3). Uncertainty: teammate Christian Salem also had a big disposal count.
2026_R1_collingwood_v_adelaide_2026-03-14,2026,1,Nick Daicos,collingwood,0.6481102574251671,0.2399122985732453,0.0799691426040708,0.032008301397516745,2.504124512026063,3,losing team; disposals=33 (match z=2.1); clearances=4 (match z=1.5); goals=2 (match z=1.8); inside 50s=10 (match z=3.8).
2026_R1_western_bulldogs_v_greater_western_sydney_2026-03-14,2026,1,Marcus Bontempelli,western_bulldogs,0.5384304800335623,0.4212108359458833,0.03826284240530232,0.0020958416152520518,2.495975954397756,3,winning team; disposals=33 (match z=2.2); contested possessions=14 (match z=3.0); clearances=6 (match z=2.0); goals=3 (match z=2.0); inside 50s=11 (match z=3.8).
