season,round,round_label,match_id,afl_match_id,date,home_team,away_team,player_id,afl_player_id,player_name,player_team,player_team_abbr,actual_brownlow_votes,eligible,identity_status
2026,1,Round 1,2026_R1_collingwood_v_adelaide_2026-03-14,CD_M20260140106,2026-03-14,collingwood,adelaide,12892,CD_I1008384,Riley Thilthorpe,adelaide,ADEL,2,False,resolved
2026,1,Round 1,2026_R1_collingwood_v_adelaide_2026-03-14,CD_M20260140106,2026-03-14,collingwood,adelaide,12367,CD_I296420,Alex Neal-Bullen,adelaide,ADEL,1,True,resolved
2026,1,Round 1,2026_R1_geelong_v_fremantle_2026-03-14,CD_M20260140104,2026-03-14,geelong,fremantle,12779,CD_I1009399,Luke Jackson,fremantle,FRE,3,True,resolved
2026,1,Round 1,2026_R1_geelong_v_fremantle_2026-03-14,CD_M20260140104,2026-03-14,geelong,fremantle,12881,CD_I1015889,Max Holmes,geelong,GEEL,2,True,resolved
2026,1,Round 1,2026_R1_geelong_v_fremantle_2026-03-14,CD_M20260140104,2026-03-14,geelong,fremantle,12786,CD_I1009420,Caleb Serong,fremantle,FRE,1,True,resolved
2026,1,Round 1,2026_R1_sydney_v_brisbane_lions_2026-03-14,CD_M20260140105,2026-03-14,sydney,brisbane_lions,12627,CD_I1008198,Tom McCartin,sydney,SYD,3,True,resolved
2026,1,Round 1,2026_R1_sydney_v_brisbane_lions_2026-03-14,CD_M20260140105,2026-03-14,sydney,brisbane_lions,13195,CD_I1008224,Riley Bice,sydney,SYD,2,True,resolved
2026,1,Round 1,2026_R1_sydney_v_brisbane_lions_2026-03-14,CD_M20260140105,2026-03-14,sydney,brisbane_lions,12844,CD_I1008091,Joel Amartey,sydney,SYD,1,True,resolved
2026,1,Round 1,2026_R1_western_bulldogs_v_greater_western_sydney_2026-03-14,CD_M20260140103,2026-03-14,western_bulldogs,greater_western_sydney,12269,CD_I297373,Marcus Bontempelli,western_bulldogs,WB,3,True,resolved
2026,1,Round 1,2026_R1_western_bulldogs_v_greater_western_sydney_2026-03-14,CD_M20260140103,2026-03-14,western_bulldogs,greater_western_sydney,12594,CD_I1002404,Aaron Naughton,western_bulldogs,WB,2,True,resolved
2026,1,Round 1,2026_R1_western_bulldogs_v_greater_western_sydney_2026-03-14,CD_M20260140103,2026-03-14,western_bulldogs,greater_western_sydney,12537,CD_I1004592,Tim English,western_bulldogs,WB,1,True,resolved
2026,1,Round 1,2026_R1_gold_coast_v_west_coast_2026-03-15,CD_M20260140109,2026-03-15,gold_coast,west_coast,12430,CD_I298210,Christian Petracca,gold_coast,GCFC,3,True,resolved
2026,1,Round 1,2026_R1_gold_coast_v_west_coast_2026-03-15,CD_M20260140109,2026-03-15,gold_coast,west_coast,12767,CD_I1009199,Noah Anderson,gold_coast,GCFC,2,True,resolved
2026,1,Round 1,2026_R1_gold_coast_v_west_coast_2026-03-15,CD_M20260140109,2026-03-15,gold_coast,west_coast,12728,CD_I1006144,Ben King,gold_coast,GCFC,1,True,resolved
2026,1,Round 1,2026_R1_melbourne_v_st_kilda_2026-03-15,CD_M20260140108,2026-03-15,melbourne,st_kilda,13193,CD_I1020855,Max Hall,st_kilda,STK,3,True,resolved
2026,1,Round 1,2026_R1_melbourne_v_st_kilda_2026-03-15,CD_M20260140108,2026-03-15,melbourne,st_kilda,13048,CD_I1017720,Jacob van Rooyen,melbourne,MELB,2,False,resolved
2026,1,Round 1,2026_R1_melbourne_v_st_kilda_2026-03-15,CD_M20260140108,2026-03-15,melbourne,st_kilda,11966,CD_I290528,Max Gawn,melbourne,MELB,1,True,resolved
2026,1,Round 1,2026_R1_north_melbourne_v_port_adelaide_2026-03-15,CD_M20260140107,2026-03-15,north_melbourne,port_adelaide,12590,CD_I1002267,Luke Davies-Uniacke,north_melbourne,NMFC,3,True,resolved
2026,1,Round 1,2026_R1_north_melbourne_v_port_adelaide_2026-03-15,CD_M20260140107,2026-03-15,north_melbourne,port_adelaide,12796,CD_I1004848,Dylan Stephens,north_melbourne,NMFC,2,True,resolved
2026,1,Round 1,2026_R1_north_melbourne_v_port_adelaide_2026-03-15,CD_M20260140107,2026-03-15,north_melbourne,port_adelaide,13034,CD_I1023518,Harry Sheezel,north_melbourne,NMFC,1,True,resolved
2026,2,Round 2,2026_R2_hawthorn_v_sydney_2026-03-19,CD_M20260140201,2026-03-19,hawthorn,sydney,12915,CD_I1020895,Jai Newcombe,hawthorn,HAW,3,True,resolved
2026,2,Round 2,2026_R2_hawthorn_v_sydney_2026-03-19,CD_M20260140201,2026-03-19,hawthorn,sydney,12710,CD_I1006314,Dylan Moore,hawthorn,HAW,2,False,resolved
2026,2,Round 2,2026_R2_hawthorn_v_sydney_2026-03-19,CD_M20260140201,2026-03-19,hawthorn,sydney,12383,CD_I990290,Tom Barrass,hawthorn,HAW,1,True,resolved
