season,rank,eligible_rank,afl_leaderboard_order,player_id,afl_player_id,player_name,player_team,player_team_abbr,eligible,winner,afl_total_actual_votes,reconstructed_total_votes,afl_total_predicted_votes,n_3_votes,n_2_votes,n_1_votes,games_with_votes,games_played,byes,did_not_play,identity_status
2026,38,35,42,12881,CD_I1015889,Max Holmes,geelong,GEEL,True,False,10,10,13,2,1,2,5,18,2,5,resolved
2026,38,35,43,12504,CD_I998172,Tim Taranto,richmond,RICH,True,False,10,10,9,1,1,5,7,21,2,2,resolved
2026,38,,44,13048,CD_I1017720,Jacob van Rooyen,melbourne,MELB,False,False,10,10,11,2,2,0,4,22,2,1,resolved
2026,45,41,45,12589,CD_I1002232,Andrew Brayshaw,fremantle,FRE,True,False,9,9,10,1,2,2,5,23,2,0,resolved
2026,45,41,46,11845,CD_I291351,Jack Gunston,hawthorn,HAW,True,False,9,9,8,1,2,2,5,17,2,6,resolved
2026,45,41,47,13104,CD_I993878,Shaun Mannagh,geelong,GEEL,True,False,9,9,7,2,1,1,4,23,2,0,resolved
2026,45,41,48,12241,CD_I992016,Zach Merrett,essendon,ESS,True,False,9,9,4,1,2,2,5,23,2,0,resolved
2026,45,41,49,12331,CD_I298272,Touk Miller,gold_coast,GCFC,True,False,9,9,6,1,3,0,4,23,2,0,resolved
2026,45,41,50,13137,CD_I1028019,Logan Morris,brisbane_lions,BL,True,False,9,9,7,2,1,1,4,22,2,1,resolved
2026,45,41,51,13105,CD_I1023473,Nick Watson,hawthorn,HAW,True,False,9,9,14,1,3,0,4,21,2,2,resolved
2026,45,41,52,12703,CD_I296422,Callum Wilkie,st_kilda,STK,True,False,9,9,10,1,3,0,4,23,2,0,resolved
2026,53,49,53,12983,CD_I1020594,Jye Amiss,fremantle,FRE,True,False,8,8,3,0,2,4,6,22,2,1,resolved
2026,53,49,54,12318,CD_I994185,Jordan De Goey,collingwood,COLL,True,False,8,8,9,1,2,1,4,21,2,2,resolved
2026,53,49,55,12953,CD_I1017051,Josh Rachele,adelaide,ADEL,True,False,8,8,6,1,2,1,4,23,2,0,resolved
2026,56,52,56,13125,CD_I1027790,Hugo Garcia,st_kilda,STK,True,False,7,7,5,2,0,1,3,23,2,0,resolved
2026,56,52,57,12927,CD_I1012857,Jack Ginnivan,hawthorn,HAW,True,False,7,7,7,2,0,1,3,22,2,1,resolved
2026,56,52,58,12060,CD_I295584,Bradley Hill,st_kilda,STK,True,False,7,7,7,1,1,2,4,23,2,0,resolved
2026,56,52,59,12743,CD_I1000072,John Noble,gold_coast,GCFC,True,False,7,7,7,0,2,3,5,23,2,0,resolved
2026,56,52,60,12887,CD_I1012819,Josh Treacy,fremantle,FRE,True,False,7,7,10,1,1,2,4,23,2,0,resolved
2026,56,52,61,13129,CD_I1017754,Patrick Voss,fremantle,FRE,True,False,7,7,8,2,0,1,3,23,2,0,resolved
2026,62,58,62,12794,CD_I1008550,Will Day,hawthorn,HAW,True,False,6,6,4,1,1,1,3,11,2,12,resolved
2026,62,58,63,12974,CD_I1025034,Oliver Dempsey,geelong,GEEL,True,False,6,6,7,1,1,1,3,23,2,0,resolved
2026,62,58,64,12406,CD_I993817,Darcy Parish,essendon,ESS,True,False,6,6,6,2,0,0,2,14,2,9,resolved
2026,62,58,65,11953,CD_I290778,Luke Parker,north_melbourne,NMFC,True,False,6,6,4,1,1,1,3,23,2,0,resolved
2026,62,58,66,12167,CD_I293884,Jake Stringer,greater_western_sydney,GWS,True,False,6,6,6,2,0,0,2,23,2,0,resolved
2026,62,58,67,12601,CD_I996554,Jake Waterman,west_coast,WCE,True,False,6,6,2,1,1,1,3,23,2,0,resolved
2026,68,64,68,12782,CD_I1009253,Lachie Ash,greater_western_sydney,GWS,True,False,5,5,9,1,0,2,3,23,2,0,resolved
2026,68,64,69,12558,CD_I998134,Josh Battle,hawthorn,HAW,True,False,5,5,0,1,1,0,2,21,2,2,resolved
2026,68,64,70,12699,CD_I1006028,Nick Blakey,sydney,SYD,True,False,5,5,6,1,0,2,3,22,2,1,resolved
2026,68,64,71,12237,CD_I296254,Jarman Impey,hawthorn,HAW,True,False,5,5,5,1,1,0,2,21,2,2,resolved
2026,68,64,72,12968,CD_I1014026,Kai Lohmann,brisbane_lions,BL,True,False,5,5,4,1,0,2,3,23,2,0,resolved
2026,68,64,73,12564,CD_I992468,Rowan Marshall,st_kilda,STK,True,False,5,5,4,1,0,2,3,21,2,2,resolved
2026,68,64,74,12992,CD_I1016433,Shannon Neale,geelong,GEEL,True,False,5,5,5,1,1,0,2,23,2,0,resolved
2026,68,64,75,4182,CD_I260257,Scott Pendlebury,collingwood,COLL,True,False,5,5,5,1,1,0,2,17,2,6,resolved
2026,68,,76,12892,CD_I1008384,Riley Thilthorpe,adelaide,ADEL,False,False,5,5,3,0,2,1,3,20,2,3,resolved
2026,77,72,77,12433,CD_I294469,Aliir Aliir,port_adelaide,PORT,True,False,4,4,5,0,1,2,3,22,2,1,resolved
2026,77,72,78,12017,CD_I293845,Jeremy Cameron,geelong,GEEL,True,False,4,4,5,1,0,1,2,17,2,6,resolved
2026,77,72,79,12061,CD_I293871,Jack Crisp,collingwood,COLL,True,False,4,4,0,0,1,2,3,23,2,0,resolved
2026,77,72,80,12925,CD_I1015810,Sam Durham,essendon,ESS,True,False,4,4,4,0,1,2,3,20,2,3,resolved
2026,77,72,81,12728,CD_I1006144,Ben King,gold_coast,GCFC,True,False,4,4,3,1,0,1,2,23,2,0,resolved
2026,77,72,82,12566,CD_I1000953,Harry McKay,carlton,CARL,True,False,4,4,3,0,1,2,3,21,2,2,resolved
2026,77,72,83,12594,CD_I1002404,Aaron Naughton,western_bulldogs,WB,True,False,4,4,2,0,2,0,2,22,2,1,resolved
2026,77,72,84,12368,CD_I296205,Jack Steele,melbourne,MELB,True,False,4,4,7,0,1,2,3,23,2,0,resolved
2026,77,72,85,12087,CD_I292128,Elliot Yeo,west_coast,WCE,True,False,4,4,3,0,2,0,2,21,2,2,resolved
2026,77,,86,12584,CD_I999331,Darcy Fogarty,adelaide,ADEL,False,False,4,4,0,1,0,1,2,14,2,9,resolved
2026,87,81,87,12519,CD_I998133,Jarrod Berry,brisbane_lions,BL,True,False,3,3,1,1,0,0,1,18,2,5,resolved
2026,87,81,88,12871,CD_I1012805,Tanner Bruhn,geelong,GEEL,True,False,3,3,4,0,1,1,2,21,2,2,resolved
2026,87,81,89,13007,CD_I1013462,Jase Burgoyne,port_adelaide,PORT,True,False,3,3,3,1,0,0,1,23,2,0,resolved
2026,87,81,90,12756,CD_I1005330,Kade Chandler,melbourne,MELB,True,False,3,3,3,0,1,1,2,22,2,1,resolved
2026,87,81,91,12688,CD_I1006152,Jordan Clark,fremantle,FRE,True,False,3,3,3,1,0,0,1,23,2,0,resolved
2026,87,81,92,11700,CD_I270917,Patrick Dangerfield,geelong,GEEL,True,False,3,3,3,0,1,1,2,17,2,6,resolved
2026,87,81,93,12824,CD_I1009260,Sam Flanders,st_kilda,STK,True,False,3,3,1,1,0,0,1,12,2,11,resolved
2026,87,81,94,13140,CD_I1027704,Joel Freijah,western_bulldogs,WB,True,False,3,3,4,1,0,0,1,23,2,0,resolved
2026,87,81,95,13279,CD_I1032042,Phoenix Gothard,greater_western_sydney,GWS,True,False,3,3,3,1,0,0,1,16,2,7,resolved
2026,87,81,96,12469,CD_I993794,Blake Hardwick,hawthorn,HAW,True,False,3,3,2,1,0,0,1,23,2,0,resolved
2026,87,81,97,12393,CD_I298264,Ed Langdon,melbourne,MELB,True,False,3,3,1,1,0,0,1,23,2,0,resolved
2026,87,81,98,13184,CD_I1028546,Harvey Langford,melbourne,MELB,True,False,3,3,3,1,0,0,1,23,2,0,resolved
2026,87,81,99,12627,CD_I1008198,Tom McCartin,sydney,SYD,True,False,3,3,3,1,0,0,1,20,2,3,resolved
2026,87,81,100,12711,CD_I1011936,Justin McInerney,sydney,SYD,True,False,3,3,4,1,0,0,1,13,2,10,resolved
2026,87,81,101,12291,CD_I297504,Daniel McStay,collingwood,COLL,True,False,3,3,2,0,1,1,2,23,2,0,resolved
2026,87,81,102,12948,CD_I1023272,Mitch Owens,st_kilda,STK,True,False,3,3,2,0,1,1,2,20,2,3,resolved
2026,87,81,103,12412,CD_I996765,Tom Papley,sydney,SYD,True,False,3,3,1,0,1,1,2,18,2,5,resolved
2026,87,81,104,12903,CD_I1005986,Malcolm Rosas,sydney,SYD,True,False,3,3,3,1,0,0,1,16,2,7,resolved
2026,87,81,105,,CD_I1006133,Jack Ross,richmond,RICH,True,False,3,3,2,0,1,1,2,19,2,4,unresolved
2026,87,81,106,12505,CD_I291800,Tom Stewart,geelong,GEEL,True,False,3,3,2,0,1,1,2,21,2,2,resolved
2026,87,81,107,12955,CD_I1017110,Josh Ward,hawthorn,HAW,True,False,3,3,5,0,1,1,2,23,2,0,resolved
2026,87,81,108,13026,CD_I1017067,Darcy Wilmot,brisbane_lions,BL,True,False,3,3,4,1,0,0,1,23,2,0,resolved
2026,87,,109,12332,CD_I297566,James Sicily,hawthorn,HAW,False,False,3,3,1,1,0,0,1,22,2,1,resolved
2026,87,,110,11713,CD_I280506,Taylor Walker,adelaide,ADEL,False,False,3,3,2,0,1,1,2,16,2,7,resolved
2026,87,,111,12788,CD_I1004965,Tristan Xerri,north_melbourne,NMFC,False,False,3,3,3,0,1,1,2,19,2,4,resolved
2026,112,103,112,12498,CD_I998130,Ben Ainsworth,carlton,CARL,True,False,2,2,0,0,1,0,1,23,2,0,resolved
2026,112,103,113,12690,CD_I994386,Tom Atkins,geelong,GEEL,True,False,2,2,0,0,0,2,2,23,2,0,resolved
2026,112,103,114,13195,CD_I1008224,Riley Bice,sydney,SYD,True,False,2,2,2,0,1,0,1,20,2,3,resolved
2026,112,103,115,12028,CD_I291969,Stephen Coniglio,greater_western_sydney,GWS,True,False,2,2,1,0,1,0,1,21,2,2,resolved
2026,112,103,116,12573,CD_I1005054,Josh Daicos,collingwood,COLL,True,False,2,2,9,0,1,0,1,23,2,0,resolved
2026,112,103,117,12497,CD_I998103,Oliver Florent,carlton,CARL,True,False,2,2,1,0,1,0,1,23,2,0,resolved
2026,112,103,118,12766,CD_I1010174,Mitch Georgiades,port_adelaide,PORT,True,False,2,2,3,0,1,0,1,21,2,2,resolved
2026,112,103,119,13038,CD_I1023025,Reuben Ginbey,west_coast,WCE,True,False,2,2,3,0,1,0,1,13,2,10,resolved
2026,112,103,120,12851,CD_I1012860,Oliver Henry,geelong,GEEL,True,False,2,2,0,0,0,2,2,22,2,1,resolved
2026,112,103,121,13160,CD_I1013464,Lawson Humphries,geelong,GEEL,True,False,2,2,3,0,1,0,1,22,2,1,resolved
2026,112,103,122,13047,CD_I1016825,Matthew Johnson,fremantle,FRE,True,False,2,2,3,0,1,0,1,22,2,1,resolved
2026,112,103,123,12595,CD_I295898,Tim Kelly,west_coast,WCE,True,False,2,2,3,0,1,0,1,21,2,2,resolved
2026,112,103,124,12455,CD_I1001398,Matthew Kennedy,western_bulldogs,WB,True,False,2,2,3,0,1,0,1,23,2,0,resolved
2026,112,103,125,12518,CD_I1000978,Hugh McCluggage,brisbane_lions,BL,True,False,2,2,1,0,1,0,1,13,2,10,resolved
2026,112,103,126,13107,CD_I1024272,Colby McKercher,north_melbourne,NMFC,True,False,2,2,3,0,1,0,1,23,2,0,resolved
2026,112,103,127,12689,CD_I1004938,Gryan Miers,geelong,GEEL,True,False,2,2,1,0,1,0,1,15,2,8,resolved
2026,112,103,128,12934,CD_I1006013,James Peatling,adelaide,ADEL,True,False,2,2,4,0,1,0,1,21,2,2,resolved
2026,112,103,129,13139,CD_I1008239,Joe Richards,port_adelaide,PORT,True,False,2,2,3,0,1,0,1,20,2,3,resolved
2026,112,103,130,12403,CD_I1000981,Daniel Rioli,gold_coast,GCFC,True,False,2,2,0,0,1,0,1,20,2,3,resolved
2026,112,103,131,12600,CD_I1004364,Liam Ryan,st_kilda,STK,True,False,2,2,4,0,1,0,1,17,2,6,resolved
2026,112,103,132,13283,CD_I1027168,Dyson Sharp,essendon,ESS,True,False,2,2,0,0,1,0,1,15,2,8,resolved
2026,112,103,133,11751,CD_I280965,Steele Sidebottom,collingwood,COLL,True,False,2,2,0,0,1,0,1,20,2,3,resolved
2026,112,103,134,12502,CD_I993998,Jy Simpkin,north_melbourne,NMFC,True,False,2,2,1,0,1,0,1,23,2,0,resolved
2026,112,103,135,12796,CD_I1004848,Dylan Stephens,north_melbourne,NMFC,True,False,2,2,6,0,1,0,1,23,2,0,resolved
2026,112,103,136,13263,CD_I1031988,Cooper Trembath,north_melbourne,NMFC,True,False,2,2,5,0,1,0,1,23,2,0,resolved
2026,112,103,137,12143,CD_I294305,Lachie Whitfield,greater_western_sydney,GWS,True,False,2,2,7,0,0,2,2,21,2,2,resolved
2026,112,,138,12975,CD_I1002947,Paul Curtis,north_melbourne,NMFC,False,False,2,2,3,0,0,2,2,20,2,3,resolved
2026,112,,139,12710,CD_I1006314,Dylan Moore,hawthorn,HAW,False,False,2,2,0,0,1,0,1,22,2,1,resolved
2026,140,129,140,12844,CD_I1008091,Joel Amartey,sydney,SYD,True,False,1,1,1,0,0,1,1,15,2,8,resolved
2026,140,129,141,13197,CD_I1028560,Levi Ashcroft,brisbane_lions,BL,True,False,1,1,0,0,0,1,1,23,2,0,resolved
2026,140,129,142,12686,CD_I1002245,Noah Balta,richmond,RICH,True,False,1,1,0,0,0,1,1,17,2,6,resolved
2026,140,129,143,12383,CD_I990290,Tom Barrass,hawthorn,HAW,True,False,1,1,1,0,0,1,1,19,2,4,resolved
2026,140,129,144,12916,CD_I1000864,Lachlan Bramble,western_bulldogs,WB,True,False,1,1,0,0,0,1,1,23,2,0,resolved
2026,140,129,145,13148,CD_I1027899,Nate Caddy,essendon,ESS,True,False,1,1,2,0,0,1,1,22,2,1,resolved
2026,140,129,146,12660,CD_I990291,Darcy Cameron,collingwood,COLL,True,False,1,1,4,0,0,1,1,22,2,1,resolved
2026,140,129,147,12863,CD_I1013133,Braeden Campbell,sydney,SYD,True,False,1,1,0,0,0,1,1,6,2,17,resolved
2026,140,129,148,12656,CD_I1002251,Brent Daniels,greater_western_sydney,GWS,True,False,1,1,0,0,0,1,1,10,2,13,resolved
2026,140,129,149,13021,CD_I1017126,Sam Darcy,western_bulldogs,WB,True,False,1,1,1,0,0,1,1,6,2,17,resolved
2026,140,129,150,11905,CD_I290838,Jack Darling,north_melbourne,NMFC,True,False,1,1,0,0,0,1,1,22,2,1,resolved
2026,140,129,151,13273,CD_I1033084,Harry Dean,carlton,CARL,True,False,1,1,0,0,0,1,1,20,2,3,resolved
2026,140,129,152,12408,CD_I993834,Josh Dunkley,brisbane_lions,BL,True,False,1,1,3,0,0,1,1,23,2,0,resolved
2026,140,129,153,12083,CD_I293801,Jamie Elliott,collingwood,COLL,True,False,1,1,0,0,0,1,1,11,2,12,resolved
2026,140,129,154,12537,CD_I1004592,Tim English,western_bulldogs,WB,True,False,1,1,0,0,0,1,1,15,2,8,resolved
2026,140,129,155,13335,CD_I1017073,Joel Fitzgerald,melbourne,MELB,True,False,1,1,0,0,0,1,1,10,2,13,resolved
2026,140,129,156,12454,CD_I993953,Eric Hipwood,brisbane_lions,BL,True,False,1,1,0,0,0,1,1,10,2,13,resolved
2026,140,129,157,12752,CD_I998390,Changkuoth Jiath,melbourne,MELB,True,False,1,1,0,0,0,1,1,15,2,8,resolved
2026,140,129,158,12165,CD_I293222,Rory Laird,adelaide,ADEL,True,False,1,1,0,0,0,1,1,18,2,5,resolved
2026,140,129,159,13190,CD_I1028491,Sam Lalor,richmond,RICH,True,False,1,1,4,0,0,1,1,12,2,11,resolved
2026,140,129,160,12563,CD_I1001017,Nick Larkey,north_melbourne,NMFC,True,False,1,1,2,0,0,1,1,23,2,0,resolved
2026,140,129,161,12636,CD_I1000887,Mitch Lewis,hawthorn,HAW,True,False,1,1,4,0,0,1,1,22,2,1,resolved
2026,140,129,162,13065,CD_I1021200,Lachlan McAndrew,adelaide,ADEL,True,False,1,1,1,0,0,1,1,22,2,1,resolved
2026,140,129,163,12300,CD_I294596,Tim Membrey,collingwood,COLL,True,False,1,1,1,0,0,1,1,19,2,4,resolved
2026,140,129,164,13294,CD_I1005972,Milan Murdock,west_coast,WCE,True,False,1,1,0,0,0,1,1,20,2,3,resolved
2026,140,129,165,12367,CD_I296420,Alex Neal-Bullen,adelaide,ADEL,True,False,1,1,0,0,0,1,1,21,2,2,resolved
2026,140,129,166,12653,CD_I1008893,Harrison Petty,melbourne,MELB,True,False,1,1,0,0,0,1,1,19,2,4,resolved
2026,140,129,167,12417,CD_I298290,Marc Pittonet,carlton,CARL,True,False,1,1,0,0,0,1,1,20,2,3,resolved
2026,140,129,168,13168,CD_I1023515,Archie Roberts,essendon,ESS,True,False,1,1,6,0,0,1,1,21,2,2,resolved
2026,140,129,169,12567,CD_I998215,Will Setterfield,essendon,ESS,True,False,1,1,0,0,0,1,1,11,2,12,resolved
2026,140,129,170,12325,CD_I994389,Jack Sinclair,st_kilda,STK,True,False,1,1,3,0,0,1,1,15,2,8,resolved
2026,140,129,171,12952,CD_I1017109,Jake Soligo,adelaide,ADEL,True,False,1,1,1,0,0,1,1,20,2,3,resolved
2026,140,129,172,13340,CD_I1037021,Sam Swadling,collingwood,COLL,True,False,1,1,0,0,0,1,1,8,2,15,resolved
2026,140,129,173,12890,CD_I992330,Jordon Sweet,port_adelaide,PORT,True,False,1,1,0,0,0,1,1,22,2,1,resolved
2026,140,129,174,13101,CD_I1027925,Harvey Thomas,greater_western_sydney,GWS,True,False,1,1,0,0,0,1,1,22,2,1,resolved
2026,140,129,175,13041,CD_I1017665,Bodhi Uwland,gold_coast,GCFC,True,False,1,1,3,0,0,1,1,23,2,0,resolved
2026,140,129,176,13278,CD_I1029297,Zeke Uwland,gold_coast,GCFC,True,False,1,1,0,0,0,1,1,17,2,6,resolved
2026,140,129,177,12836,CD_I1006114,Bailey J. Williams,west_coast,WCE,True,False,1,1,3,0,0,1,1,19,2,4,resolved
2026,140,129,178,12967,CD_I1023270,Marcus Windhager,st_kilda,STK,True,False,1,1,0,0,0,1,1,23,2,0,resolved
2026,140,129,179,12777,CD_I1009256,Hayden Young,fremantle,FRE,True,False,1,1,3,0,0,1,1,14,2,9,resolved
2026,140,129,180,12076,CD_I261224,Dayne Zorko,brisbane_lions,BL,True,False,1,1,2,0,0,1,1,13,2,10,resolved
2026,140,,181,12422,CD_I991930,Darcy Byrne-Jones,port_adelaide,PORT,False,False,1,1,0,0,0,1,1,22,2,1,resolved
2026,140,,182,13049,CD_I1023500,Bailey Humphrey,gold_coast,GCFC,False,False,1,1,1,0,0,1,1,20,2,3,resolved
2026,140,,183,12521,CD_I993917,Ben Long,gold_coast,GCFC,False,False,1,1,0,0,0,1,1,21,2,2,resolved
