dimension,group,model,scope,n,actual_votes_total,predicted_ev_total,mean_error,mae,over_predicted,under_predicted,small_sample
team_id,fremantle,Wheelo,all,32,100,99.9,-0.004,1.21,9,5,False
team_id,geelong,Wheelo,all,32,87,90.0,0.093,0.669,6,7,False
team_id,gold_coast,Wheelo,all,36,68,64.7,-0.091,0.566,4,5,False
team_id,greater_western_sydney,Wheelo,all,37,63,59.4,-0.097,0.738,7,2,False
team_id,hawthorn,Wheelo,all,40,86,86.2,0.004,0.939,10,7,False
team_id,melbourne,Wheelo,all,36,86,84.4,-0.044,0.701,8,5,False
team_id,north_melbourne,Wheelo,all,36,67,67.6,0.017,0.683,7,4,False
team_id,port_adelaide,Wheelo,all,39,61,55.0,-0.154,0.434,4,3,False
team_id,richmond,Wheelo,all,40,12,14.8,0.07,0.148,3,2,False
team_id,st_kilda,Wheelo,all,36,71,69.6,-0.04,0.676,9,5,False
team_id,sydney,Wheelo,all,35,102,99.9,-0.059,0.914,7,7,False
team_id,west_coast,Wheelo,all,37,30,25.9,-0.111,0.348,3,4,False
team_id,western_bulldogs,Wheelo,all,39,62,68.2,0.16,0.492,5,3,False
team_id,ALL,Wheelo,all,661,1238,1234.0,-0.006,0.62,111,85,False
team_id,adelaide,Wheelo,relevant (actual>=1 or EV>=1),13,82,78.5,-0.27,1.851,4,7,False
team_id,brisbane_lions,Wheelo,relevant (actual>=1 or EV>=1),13,86,84.7,-0.099,1.273,4,5,False
team_id,carlton,Wheelo,relevant (actual>=1 or EV>=1),11,76,68.8,-0.653,1.32,2,5,False
team_id,collingwood,Wheelo,relevant (actual>=1 or EV>=1),13,75,76.3,0.099,1.506,4,6,False
team_id,essendon,Wheelo,relevant (actual>=1 or EV>=1),8,24,23.1,-0.107,1.459,3,3,True
team_id,fremantle,Wheelo,relevant (actual>=1 or EV>=1),15,100,98.0,-0.137,2.452,9,5,False
team_id,geelong,Wheelo,relevant (actual>=1 or EV>=1),17,87,88.4,0.085,1.168,6,7,False
team_id,gold_coast,Wheelo,relevant (actual>=1 or EV>=1),11,68,61.2,-0.618,1.533,2,5,False
team_id,greater_western_sydney,Wheelo,relevant (actual>=1 or EV>=1),10,63,55.6,-0.742,2.348,4,2,False
team_id,hawthorn,Wheelo,relevant (actual>=1 or EV>=1),16,86,82.7,-0.209,2.128,7,7,False
team_id,melbourne,Wheelo,relevant (actual>=1 or EV>=1),14,86,81.1,-0.353,1.565,7,5,False
team_id,north_melbourne,Wheelo,relevant (actual>=1 or EV>=1),14,67,66.3,-0.052,1.659,6,4,False
team_id,port_adelaide,Wheelo,relevant (actual>=1 or EV>=1),9,61,52.7,-0.925,1.624,2,3,True
team_id,richmond,Wheelo,relevant (actual>=1 or EV>=1),3,12,12.1,0.039,1.08,1,2,True
team_id,st_kilda,Wheelo,relevant (actual>=1 or EV>=1),13,71,66.4,-0.35,1.633,6,5,False
team_id,sydney,Wheelo,relevant (actual>=1 or EV>=1),14,102,96.5,-0.391,2.04,5,7,False
team_id,west_coast,Wheelo,relevant (actual>=1 or EV>=1),7,30,24.3,-0.813,1.614,2,4,True
team_id,western_bulldogs,Wheelo,relevant (actual>=1 or EV>=1),12,62,67.3,0.439,1.52,5,3,False
team_id,ALL,Wheelo,relevant (actual>=1 or EV>=1),213,1238,1183.9,-0.254,1.689,79,85,False
