series,model,bin,n,mean_predicted,actual_frequency,gap_pp
Market: X+ votes,Objective,90-100%,19,0.9691,0.8947,-7.43
Market: X+ votes,Bookmaker implied,0-10%,22,0.0614,0.0909,2.95
Market: X+ votes,Bookmaker implied,10-20%,14,0.1504,0.2857,13.54
Market: X+ votes,Bookmaker implied,20-30%,12,0.2526,0.3333,8.07
Market: X+ votes,Bookmaker implied,30-40%,9,0.3381,0.4444,10.63
Market: X+ votes,Bookmaker implied,40-50%,6,0.4597,0.5,4.03
Market: X+ votes,Bookmaker implied,50-60%,6,0.5505,0.6667,11.62
Market: X+ votes,Bookmaker implied,60-70%,7,0.6439,0.7143,7.04
Market: X+ votes,Bookmaker implied,70-80%,8,0.7523,1.0,24.77
Market: X+ votes,Bookmaker implied,80-90%,6,0.8628,0.8333,-2.94
Market: X+ votes,Bookmaker implied,90-100%,17,0.9554,0.9412,-1.42
Market: Top N finish,Production,0-10%,89,0.0266,0.0225,-0.41
Market: Top N finish,Production,10-20%,17,0.139,0.0,-13.9
Market: Top N finish,Production,20-30%,17,0.2473,0.3922,14.49
Market: Top N finish,Production,30-40%,20,0.3547,0.4333,7.87
Market: Top N finish,Production,40-50%,4,0.4343,0.0,-43.43
Market: Top N finish,Production,50-60%,4,0.5066,0.6667,16.01
Market: Top N finish,Production,60-70%,4,0.6635,1.0,33.65
Market: Top N finish,Production,70-80%,8,0.7693,0.75,-1.93
Market: Top N finish,Production,80-90%,6,0.8473,0.6667,-18.07
Market: Top N finish,Production,90-100%,11,0.9627,1.0,3.73
Market: Top N finish,Objective,0-10%,94,0.0158,0.0355,1.97
Market: Top N finish,Objective,10-20%,16,0.1479,0.25,10.21
Market: Top N finish,Objective,20-30%,20,0.2512,0.4,14.88
Market: Top N finish,Objective,30-40%,4,0.3646,0.0,-36.46
Market: Top N finish,Objective,40-50%,4,0.4831,0.0,-48.31
Market: Top N finish,Objective,50-60%,7,0.5385,0.381,-15.75
Market: Top N finish,Objective,60-70%,6,0.6314,0.6667,3.53
Market: Top N finish,Objective,70-80%,10,0.7583,0.8,4.17
Market: Top N finish,Objective,80-90%,8,0.8589,0.5,-35.89
Market: Top N finish,Objective,90-100%,11,0.925,1.0,7.5
Market: Top N finish,Bookmaker implied,0-10%,91,0.0381,0.0037,-3.44
Market: Top N finish,Bookmaker implied,10-20%,17,0.1459,0.1961,5.01
Market: Top N finish,Bookmaker implied,20-30%,14,0.2508,0.2143,-3.65
Market: Top N finish,Bookmaker implied,30-40%,8,0.3411,0.5,15.89
Market: Top N finish,Bookmaker implied,40-50%,4,0.4657,0.3333,-13.24
Market: Top N finish,Bookmaker implied,50-60%,10,0.5395,0.6,6.05
Market: Top N finish,Bookmaker implied,60-70%,8,0.6598,0.375,-28.48
Market: Top N finish,Bookmaker implied,70-80%,4,0.7374,0.25,-48.74
Market: Top N finish,Bookmaker implied,80-90%,6,0.8538,0.8333,-2.05
Market: Top N finish,Bookmaker implied,90-100%,18,0.9601,1.0,3.99
Market: Team votes O/U,Production,0-10%,0,,,
Market: Team votes O/U,Production,10-20%,4,0.1337,0.5,36.63
Market: Team votes O/U,Production,20-30%,8,0.25,0.625,37.49
Market: Team votes O/U,Production,30-40%,11,0.3475,0.8182,47.07
Market: Team votes O/U,Production,40-50%,10,0.4651,0.6,13.49
Market: Team votes O/U,Production,50-60%,10,0.5349,0.4,-13.49
Market: Team votes O/U,Production,60-70%,11,0.6525,0.1818,-47.07
Market: Team votes O/U,Production,70-80%,8,0.7499,0.375,-37.49
Market: Team votes O/U,Production,80-90%,4,0.8663,0.5,-36.63
Market: Team votes O/U,Production,90-100%,0,,,
Market: Team votes O/U,Objective,0-10%,24,0.0282,0.375,34.68
Market: Team votes O/U,Objective,10-20%,3,0.1346,1.0,86.54
Market: Team votes O/U,Objective,20-30%,4,0.2344,0.5,26.56
Market: Team votes O/U,Objective,30-40%,2,0.3281,0.0,-32.81
Market: Team votes O/U,Objective,40-50%,2,0.4278,0.0,-42.78
Market: Team votes O/U,Objective,50-60%,2,0.5722,1.0,42.78
Market: Team votes O/U,Objective,60-70%,2,0.6719,1.0,32.81
Market: Team votes O/U,Objective,70-80%,4,0.7656,0.5,-26.56
Market: Team votes O/U,Objective,80-90%,3,0.8654,0.0,-86.54
Market: Team votes O/U,Objective,90-100%,24,0.9718,0.625,-34.68
Market: Team votes O/U,Bookmaker implied,0-10%,0,,,
Market: Team votes O/U,Bookmaker implied,10-20%,0,,,
Market: Team votes O/U,Bookmaker implied,20-30%,0,,,
Market: Team votes O/U,Bookmaker implied,30-40%,0,,,
Market: Team votes O/U,Bookmaker implied,40-50%,1,0.4762,0.0,-47.62
Market: Team votes O/U,Bookmaker implied,50-60%,69,0.5355,0.5072,-2.83
Market: Team votes O/U,Bookmaker implied,60-70%,0,,,
Market: Team votes O/U,Bookmaker implied,70-80%,0,,,
Market: Team votes O/U,Bookmaker implied,80-90%,0,,,
Market: Team votes O/U,Bookmaker implied,90-100%,0,,,
Market: Player H2H,Production,0-10%,1,0.0984,0.0,-9.84
Market: Player H2H,Production,10-20%,7,0.1378,0.4286,29.08
Market: Player H2H,Production,20-30%,10,0.2536,0.3,4.64
Market: Player H2H,Production,30-40%,2,0.3764,0.0,-37.64
Market: Player H2H,Production,40-50%,4,0.4257,0.25,-17.57
Market: Player H2H,Production,50-60%,6,0.5448,0.6667,12.19
Market: Player H2H,Production,60-70%,5,0.6639,1.0,33.61
Market: Player H2H,Production,70-80%,5,0.7213,0.8,7.87
Market: Player H2H,Production,80-90%,6,0.8313,0.5,-33.13
Market: Player H2H,Production,90-100%,0,,,
Market: Player H2H,Objective,0-10%,10,0.0373,0.3,26.27
Market: Player H2H,Objective,10-20%,5,0.141,0.6,45.9
Market: Player H2H,Objective,20-30%,0,,,
Market: Player H2H,Objective,30-40%,6,0.336,0.6667,33.07
Market: Player H2H,Objective,40-50%,4,0.4571,0.5,4.29
Market: Player H2H,Objective,50-60%,3,0.5346,0.6667,13.2
Market: Player H2H,Objective,60-70%,3,0.6256,0.0,-62.56
Market: Player H2H,Objective,70-80%,2,0.768,0.0,-76.8
Market: Player H2H,Objective,80-90%,7,0.8435,0.5714,-27.21
Market: Player H2H,Objective,90-100%,6,0.9802,0.8333,-14.68
Market: Player H2H,Bookmaker implied,0-10%,0,,,
Market: Player H2H,Bookmaker implied,10-20%,0,,,
Market: Player H2H,Bookmaker implied,20-30%,0,,,
Market: Player H2H,Bookmaker implied,30-40%,1,0.3922,0.0,-39.22
Market: Player H2H,Bookmaker implied,40-50%,7,0.464,0.0,-46.4
Market: Player H2H,Bookmaker implied,50-60%,31,0.5366,0.5161,-2.05
Market: Player H2H,Bookmaker implied,60-70%,7,0.6201,1.0,37.99
Market: Player H2H,Bookmaker implied,70-80%,0,,,
Market: Player H2H,Bookmaker implied,80-90%,0,,,
Market: Player H2H,Bookmaker implied,90-100%,0,,,
Market: all settled binary markets,Production,0-10%,209,0.0235,0.0622,3.87
Market: all settled binary markets,Production,10-20%,61,0.145,0.2951,15.01
Market: all settled binary markets,Production,20-30%,60,0.25,0.3444,9.45
Market: all settled binary markets,Production,30-40%,72,0.3529,0.4815,12.86
Market: all settled binary markets,Production,40-50%,52,0.451,0.3654,-8.56
Market: all settled binary markets,Production,50-60%,50,0.5417,0.5733,3.17
Market: all settled binary markets,Production,60-70%,38,0.6564,0.6316,-2.48
Market: all settled binary markets,Production,70-80%,45,0.7481,0.6,-14.81
Market: all settled binary markets,Production,80-90%,35,0.8502,0.6286,-22.16
Market: all settled binary markets,Production,90-100%,23,0.9537,0.8696,-8.41
Market: all settled binary markets,Objective,0-10%,259,0.0197,0.1094,8.97
Market: all settled binary markets,Objective,10-20%,57,0.1485,0.386,23.75
Market: all settled binary markets,Objective,20-30%,49,0.2516,0.3878,13.62
Market: all settled binary markets,Objective,30-40%,40,0.3456,0.325,-2.06
Market: all settled binary markets,Objective,40-50%,26,0.4541,0.3846,-6.95
Market: all settled binary markets,Objective,50-60%,35,0.5468,0.5333,-1.35
Market: all settled binary markets,Objective,60-70%,31,0.6478,0.5161,-13.16
Market: all settled binary markets,Objective,70-80%,40,0.748,0.6,-14.8
Market: all settled binary markets,Objective,80-90%,35,0.8521,0.5429,-30.92
Market: all settled binary markets,Objective,90-100%,79,0.9597,0.7595,-20.02
Market: all settled binary markets,Bookmaker implied,0-10%,187,0.0303,0.0178,-1.25
Market: all settled binary markets,Bookmaker implied,10-20%,42,0.1514,0.1984,4.7
Market: all settled binary markets,Bookmaker implied,20-30%,49,0.2482,0.2449,-0.33
Market: all settled binary markets,Bookmaker implied,30-40%,32,0.3426,0.4062,6.36
Market: all settled binary markets,Bookmaker implied,40-50%,32,0.4567,0.2917,-16.51
Market: all settled binary markets,Bookmaker implied,50-60%,176,0.5372,0.4943,-4.29
Market: all settled binary markets,Bookmaker implied,60-70%,41,0.6486,0.6341,-1.44
Market: all settled binary markets,Bookmaker implied,70-80%,20,0.7461,0.75,0.39
Market: all settled binary markets,Bookmaker implied,80-90%,30,0.8519,0.6,-25.19
Market: all settled binary markets,Bookmaker implied,90-100%,42,0.9533,0.9048,-4.86
Season P(top 10),Production,0-10%,560,0.0004,0.0,-0.04
Season P(top 10),Production,10-20%,1,0.1243,0.0,-12.43
Season P(top 10),Production,20-30%,3,0.2294,0.0,-22.94
Season P(top 10),Production,30-40%,3,0.3682,0.6667,29.85
Season P(top 10),Production,40-50%,1,0.4579,0.0,-45.79
Season P(top 10),Production,50-60%,1,0.5094,1.0,49.06
Season P(top 10),Production,60-70%,1,0.6971,1.0,30.29
Season P(top 10),Production,70-80%,3,0.7898,0.6667,-12.31
Season P(top 10),Production,80-90%,1,0.8951,1.0,10.49
Season P(top 10),Production,90-100%,3,0.976,1.0,2.4
Season P(top 3),Production,0-10%,571,0.0005,0.0,-0.05
Season P(top 3),Production,10-20%,3,0.1477,0.0,-14.77
Season P(top 3),Production,20-30%,1,0.2958,1.0,70.42
Season P(top 3),Production,30-40%,0,,,
Season P(top 3),Production,40-50%,0,,,
Season P(top 3),Production,50-60%,0,,,
Season P(top 3),Production,60-70%,0,,,
Season P(top 3),Production,70-80%,0,,,
Season P(top 3),Production,80-90%,0,,,
Season P(top 3),Production,90-100%,2,0.9916,1.0,0.84
Season P(top 10),Objective,0-10%,645,0.0007,0.0,-0.07
Season P(top 10),Objective,10-20%,2,0.1687,0.5,33.13
Season P(top 10),Objective,20-30%,6,0.2558,0.5,24.42
Season P(top 10),Objective,30-40%,1,0.3506,0.0,-35.06
Season P(top 10),Objective,40-50%,1,0.4842,0.0,-48.42
Season P(top 10),Objective,50-60%,1,0.5182,1.0,48.18
Season P(top 10),Objective,60-70%,1,0.6482,0.0,-64.81
Season P(top 10),Objective,70-80%,0,,,
Season P(top 10),Objective,80-90%,1,0.8313,0.0,-83.12
Season P(top 10),Objective,90-100%,5,0.9709,1.0,2.91
Season P(top 3),Objective,0-10%,657,0.0002,0.0,-0.02
Season P(top 3),Objective,10-20%,2,0.1444,0.0,-14.44
Season P(top 3),Objective,20-30%,1,0.2138,0.0,-21.38
Season P(top 3),Objective,30-40%,0,,,
Season P(top 3),Objective,40-50%,0,,,
Season P(top 3),Objective,50-60%,0,,,
Season P(top 3),Objective,60-70%,1,0.6111,1.0,38.89
Season P(top 3),Objective,70-80%,1,0.7487,1.0,25.13
Season P(top 3),Objective,80-90%,0,,,
Season P(top 3),Objective,90-100%,1,0.9958,1.0,0.42
