grouping,group,subset,bets,wins,pushes,losses,hit_rate,flat_unit_pnl,roi,avg_model_prob_conservative,avg_production_prob,avg_objective_prob,avg_implied_prob,avg_odds,small_sample
market_type x bet_value,TOP_N | Moderate Bet Value,all priced selections,20,6,0,14,0.3,4.55,0.2275,0.2848,0.2974,0.475,0.2173,19.431,False
market_type x bet_value,TOP_N | No Value,all priced selections,84,24,0,60,0.2857142857142857,-45.86,-0.546,0.1287,0.2249,0.1644,0.3157,30.882,False
market_type x bet_value,TOP_N | Speculative Bet Value,all priced selections,32,14,0,18,0.4375,-8.0833,-0.2526,0.2226,0.4086,0.2226,0.3173,22.364,False
market_type x bet_value,TOP_N | Strong Bet Value + Wheelo Support,all priced selections,9,0,0,9,0.0,-9.0,-1.0,0.3059,0.3117,0.3289,0.2071,24.441,True
market_type x bet_value,TO_POLL_A_VOTE | Model Disagreement,all priced selections,3,1,0,2,0.3333333333333333,-1.6,-0.5333,0.592,0.592,0.9182,0.8236,1.227,True
market_type x bet_value,TO_POLL_A_VOTE | Moderate Bet Value,all priced selections,20,9,0,11,0.45,1.92,0.096,0.5313,0.5521,0.7381,0.3939,3.218,False
market_type x bet_value,TO_POLL_A_VOTE | No Value,all priced selections,53,22,0,31,0.41509433962264153,-17.7,-0.334,0.2948,0.4302,0.3335,0.6469,1.841,False
market_type x bet_value,TO_POLL_A_VOTE | Speculative Bet Value,all priced selections,45,15,0,30,0.3333333333333333,-10.6,-0.2356,0.3068,0.4506,0.4469,0.4548,2.696,False
market_type x bet_value,TO_POLL_A_VOTE | Strong Bet Value + Wheelo Support,all priced selections,8,3,0,5,0.375,-0.9,-0.1125,0.4006,0.4097,0.418,0.3272,3.506,True
market_type x bet_value,WINNER | Model Disagreement,all priced selections,4,0,0,4,0.0,-4.0,-1.0,0.0046,0.0046,0.0492,0.0208,48.5,True
market_type x bet_value,WINNER | No Value,all priced selections,59,0,0,59,0.0,-59.0,-1.0,0.0,0.0,0.0004,0.0043,358.831,False
market_type x bet_value,WINNER | Speculative Bet Value,all priced selections,2,2,0,0,1.0,0.03,0.015,0.8888,0.9907,0.8888,0.9852,1.015,True
market_type x bet_value,X_PLUS_VOTES | Model Disagreement,all priced selections,34,20,0,14,0.5882352941176471,1.63,0.0479,0.3072,0.3072,0.7004,0.4942,5.3,False
market_type x bet_value,X_PLUS_VOTES | Moderate Bet Value,all priced selections,10,4,0,6,0.4,3.67,0.367,0.3152,0.3246,0.6351,0.2345,14.107,True
market_type x bet_value,X_PLUS_VOTES | No Value,all priced selections,44,20,0,24,0.45454545454545453,-1.49,-0.0339,0.2063,0.3068,0.2364,0.4891,5.153,False
market_type x bet_value,X_PLUS_VOTES | Speculative Bet Value,all priced selections,17,9,0,8,0.5294117647058824,7.86,0.4624,0.1934,0.4924,0.1934,0.3688,6.471,True
market_type x bet_value,X_PLUS_VOTES | Strong Bet Value + Wheelo Support,all priced selections,2,2,0,0,1.0,15.87,7.935,0.3173,0.3173,0.3538,0.2986,8.935,True
